partial,f,sigma,r2,fittedFrameCount
1,92.8619,0.169137,0.935313,1700
2,184.378,0.222955,0.970772,1687
3,277.24,0.138295,0.848871,1700
4,370.102,0.179362,0.876156,1696
5,461.618,0.179102,0.907314,1695
6,554.48,0.237786,0.960079,1698
8,740.204,0.148846,0.698256,1703
9,833.066,0.18976,0.847102,1699
10,927.274,0.182847,0.668751,1679
12,1114.34,0.150646,0.663401,1700
13,1208.55,0.174877,0.635789,1684
15,1396.97,0.24217,0.877514,1680
16,1491.17,0.206355,0.936321,1700
17,1586.73,0.241974,0.908158,1680
18,1682.28,0.200676,0.797357,1682
19,1777.84,0.234639,0.88175,1642
20,1874.73,0.226442,0.91983,1692
21,1972.98,0.203607,0.725045,1696
22,2071.23,0.20102,0.754632,1572
31,2861.22,0.445652,0.944215,824
35,2963.51,0.347721,0.831553,941
36,3065.79,0.423961,0.848883,1215
37,3906.93,0.99007,0.830677,770
46,4344.32,1.3006,0.898592,826
50,4569.08,1.20166,0.727777,469
52,5260.83,2.10157,0.888335,499
58,5377.92,1.03376,0.724076,871
59,5497.7,0.78682,0.645959,900
60,6108.7,0.780803,0.632854,915
66,6233.86,0.731874,0.63263,924
