partial,f,sigma,r2,fittedFrameCount
1,48.4497,0.221112,0.865075,1701
2,98.2452,0.206248,0.843601,1692
3,146.695,0.189669,0.842507,1699
4,195.145,0.173304,0.821104,1701
5,244.94,0.189705,0.936563,1698
6,293.39,0.218596,0.940317,1696
8,391.635,0.207171,0.940949,1702
9,440.085,0.20354,0.812295,1701
10,489.88,0.17514,0.603313,1690
12,588.126,0.269903,0.95929,1693
13,637.921,0.173383,0.67885,1696
16,787.308,0.155723,0.679209,1699
17,837.103,0.142494,0.68838,1702
18,886.899,0.211179,0.888301,1688
19,936.694,0.233002,0.944861,1691
20,987.836,0.204573,0.728715,1694
21,1038.98,0.202561,0.841175,1696
22,1091.46,0.199802,0.693796,1688
33,1713.24,0.438565,0.876803,986
34,1765.72,0.442175,0.935024,1207
35,1819.56,0.463654,0.942883,1047
36,1874.73,0.656611,0.973579,782
37,1928.57,0.550139,0.843938,698
38,1983.75,0.465763,0.931971,1167
39,2038.93,0.512291,0.912994,928
45,2430.56,0.743375,0.948312,713
46,2488.43,0.802193,0.964452,615
54,2688.96,0.886247,0.977245,504
57,2781.82,1.07439,0.964707,470
58,3360.53,1.33559,0.876225,779
68,4033.44,1.57642,0.83123,623
78,4127.65,0.594182,0.743289,1121
