partial,f,sigma,r2,fittedFrameCount
1,72.6746,0.250989,0.900052,1683
2,146.695,0.701947,0.979248,710
3,219.37,0.194081,0.739551,1689
4,293.39,0.28786,0.961189,1678
5,366.064,0.267242,0.901598,1679
6,440.085,0.219609,0.820613,1669
7,514.105,0.230657,0.760598,1688
8,586.78,0.241258,0.924394,1687
9,660.8,0.238307,0.821224,1668
10,734.821,0.329578,0.925649,1308
11,808.841,0.217142,0.813694,1692
12,882.861,0.185011,0.689952,1685
13,956.882,0.165289,0.635398,1687
14,1032.25,0.200151,0.604575,1686
15,1106.27,0.209229,0.81947,1694
16,1181.63,0.295547,0.852802,1262
17,1255.65,0.252073,0.858555,1470
19,1407.73,0.297979,0.717154,1066
20,1485.79,0.202203,0.785889,1685
27,2063.15,2.37102,0.996889,223
28,2138.52,2.38885,0.995867,215
35,2733.37,0.626117,0.938198,790
36,2815.47,0.57972,0.912924,863
37,2896.22,0.568866,0.968235,913
38,2978.31,0.608114,0.953012,886
43,3063.1,0.629062,0.964647,1050
45,3313.42,0.803068,0.913752,714
48,3652.57,0.891158,0.938975,661
52,4002.48,1.19533,0.94017,506
53,5005.12,1.59675,0.925155,375
67,5202.96,1.9283,0.878085,314
69,6002.38,2.98713,0.866737,213
77,6108.7,3.55997,0.924256,321
78,8010.35,3.56984,0.878591,324
