partial,f,sigma,count,meanR2,meanFittedFrameCount
1,440.085,0.424622,5,0.741791,766.6
2,881.516,0.515297,5,0.838061,765.2
3,1324.29,0.504935,5,0.769171,762.4
4,1771.11,0.555709,5,0.890941,761.6
5,2220.61,0.711071,5,0.949678,759.6
6,2676.85,0.888183,5,0.96353,729.2
8,3139.81,1.25454,5,0.892691,592.2
9,3609.5,1.87737,4,0.912573,341.75
10,5072.42,4.0463,3,0.920716,209
13,5582.15,4.55676,4,0.8262,220.5
14,6640.3,7.56054,3,0.908124,138.667
17,7186.71,7.51068,3,0.877319,137
18,7747.92,3.46818,2,0.66799,230
19,8900.62,3.56603,2,0.62805,209.5
21,9525.75,2.27915,1,0.519829,255
