partial,f,sigma,count,meanR2,meanFittedFrameCount
1,232.828,0.302578,2,0.764863,1011.5
2,465.656,0.280871,5,0.814472,1006.8
3,699.829,0.370675,5,0.902218,1010.4
4,934.003,0.344841,5,0.834011,1001.8
5,1169.52,0.422487,5,0.774948,904.4
6,1405.04,0.409493,5,0.885727,988
7,1641.91,0.484407,5,0.931977,919.6
8,1885.5,0.759904,3,0.961769,618.333
13,2853.15,0.999696,5,0.949844,483.4
14,3670.74,1.79691,4,0.887669,418.25
17,4653.53,2.38165,4,0.921704,305
22,4922.36,2.73861,4,0.901112,295
23,5196.68,3.1711,3,0.920386,259.667
24,6044.1,3.8507,3,0.923399,216
27,6929.65,5.76041,2,0.906216,188
29,8173.2,6.87734,2,0.902261,105.5
33,8504.94,7.35338,2,0.89077,129.5
34,8827.27,9.90443,1,0.959744,108
