partial,f,sigma,count,meanR2,meanFittedFrameCount
1,554.48,0.547555,3,0.690058,509.333
2,1110.31,0.550168,5,0.659614,510.2
3,1671.51,0.874267,5,0.847559,507
4,2238.11,0.967948,5,0.915411,505.2
5,2811.43,1.53361,5,0.953372,455.8
6,3395.79,2.12431,5,0.91256,359.4
8,3993.6,3.0503,5,0.938383,238.8
9,4758.5,4.94786,4,0.91092,173.75
10,5228.53,6.56404,2,0.919016,138.5
11,5869.14,6.4637,4,0.828923,176
12,7120.31,7.92808,3,0.874581,137.667
13,7415.5,2.1593,1,0.524347,256
15,7891.92,9.62383,2,0.859742,115
16,8630.78,11.3457,2,0.823567,104.5
17,9365.6,4.12694,1,0.604459,176
