partial,f,sigma,count,meanR2,meanFittedFrameCount
1,293.39,0.385433,5,0.894215,752.8
4,1177.6,0.532785,5,0.82778,734.6
5,1475.02,0.542088,5,0.910732,742.4
6,1773.8,0.559327,5,0.894868,740
7,2075.26,0.583727,5,0.914121,735.2
8,2379.42,0.686274,5,0.953298,733.2
9,2687.61,0.844293,4,0.91479,594.25
10,2686.27,0.893861,1,0.913619,505
11,3628.34,1.41355,4,0.942903,451.5
14,4525.67,2.72932,4,0.91361,287.25
17,4608.11,3.92452,1,0.924437,269
18,5992.96,4.1238,3,0.90515,185.333
22,7107.3,6.85851,2,0.899526,132.5
23,7866.35,4.46291,1,0.745285,221
27,9496.14,7.2984,2,0.722087,191
31,10813.7,8.02815,1,0.809912,127
