partial,f,sigma,count,meanR2,meanFittedFrameCount
1,39.0289,0.18775,5,0.854231,1277.6
2,78.0579,0.17163,5,0.838889,1274.6
3,115.741,0.160758,5,0.820052,1275.8
4,154.77,0.119891,5,0.66992,1276
5,193.799,0.162175,5,0.824396,1275.4
6,232.828,0.167576,5,0.81519,1214.8
7,271.857,0.170478,5,0.837285,1258
8,310.886,0.115013,2,0.631174,1277.5
9,349.915,0.144891,5,0.710703,1276.8
10,388.943,0.179933,5,0.838697,1275.4
11,427.972,0.14867,5,0.754495,1267
12,467.001,0.222628,5,0.91267,1273.2
13,506.03,0.180416,5,0.852859,1273.2
14,547.482,0.192487,5,0.867626,1273
15,585.434,0.236862,5,0.947016,1272
16,624.463,0.183603,5,0.795886,1274.8
17,664.838,0.193183,5,0.801784,1272.4
18,704.136,0.197644,5,0.897189,1275.6
19,744.78,0.209752,5,0.923371,1272.8
20,784.616,0.238109,5,0.923368,1274
21,824.991,0.223839,5,0.844004,1269
22,865.904,0.239872,5,0.902855,1268
23,907.086,0.311191,5,0.982941,1270.6
24,947.461,0.275881,5,0.915351,1273.2
25,990.527,0.318841,5,0.954236,1267.4
26,1032.25,0.355238,5,0.961838,1251.4
27,1099.54,2.75055,5,0.966282,216.6
28,1130.49,1.02495,1,0.997919,537
29,1170.87,0.881727,1,0.978954,670
35,1454.84,0.543556,4,0.976155,1008.75
36,1499.79,0.53131,5,0.966255,1027
37,1545.01,0.593757,5,0.973104,941
38,1588.34,0.568954,5,0.98396,964.6
39,1633.83,0.703361,4,0.977827,825.75
40,1678.58,0.659418,4,0.989503,836.5
41,1724,0.705851,4,0.999506,826.25
42,1770.03,0.761567,5,0.988383,729.2
43,1816.86,0.815432,5,0.994095,698.2
44,1862.62,0.835363,5,0.983103,652
45,1909.73,0.867062,5,0.952232,635
46,1957.17,0.907199,4,0.972601,611
50,2185.62,1.32768,1,0.999494,414
51,2227.34,1.32115,1,0.999819,437
52,2269.06,1.27446,1,0.999976,460
53,2345.77,1.05739,4,0.985466,531
54,2396.91,1.23978,4,0.999156,455.75
55,2444.02,1.23519,2,0.990714,456.5
56,2499.87,1.3048,2,0.987624,397.5
57,2550.34,1.17862,3,0.981222,456.667
58,2603.27,1.29887,3,0.964125,381.667
59,2654.64,1.20393,4,0.969745,420.75
60,2707.8,1.35615,3,0.967386,379.333
64,2956.78,1.2903,1,0.998966,420
65,2844.4,1.48328,2,0.94068,383
67,3033.83,2.15797,4,0.95788,376.5
74,3303.66,2.05718,4,0.969515,369.5
79,3614.21,2.62847,4,0.923936,304.5
84,4158.26,3.44251,4,0.899063,293.75
85,3857.14,3.35035,1,0.909573,316
88,4643.1,4.29814,1,0.886844,259
