partial,f,sigma,count,meanR2,meanFittedFrameCount
1,329.727,0.4613,5,0.910546,750.6
2,659.454,0.371763,5,0.691781,747.4
4,1322.95,0.369297,5,0.693392,747.8
5,1658.06,0.453005,5,0.851306,747
6,1994.51,0.588096,5,0.885368,718.4
7,2335.01,0.650196,5,0.948219,687.4
8,2678.19,0.895817,5,0.962602,559
10,3167.8,1.28858,5,0.911094,492.6
11,4096.69,2.05232,4,0.930118,327.75
14,5219.11,3.10682,3,0.901165,209.667
18,6403.88,3.81301,3,0.842673,215
21,6819.3,5.5986,2,0.889913,134
22,7239.19,5.28855,2,0.865218,206
23,9004.92,7.95137,2,0.774366,151
