partial,f,sigma,count,meanR2,meanFittedFrameCount
1,174.957,0.243267,5,0.812858,1012.8
2,348.569,0.27864,4,0.758655,1009.75
3,523.526,0.224263,3,0.669973,1013.33
4,698.483,0.294223,5,0.852109,1011.4
5,874.786,0.222066,2,0.658896,1008
6,1049.74,0.363122,5,0.91087,998.6
7,1226.85,0.327323,5,0.84589,1002.2
8,1403.7,0.347545,5,0.826187,988
9,1581.34,0.360681,5,0.859169,1004
10,1760.34,0.408522,5,0.921059,996.2
11,1939.87,0.563747,5,0.89292,742.4
12,2121.02,0.526619,5,0.918809,926
13,2304.05,0.574879,5,0.936943,940
14,2489.78,0.724608,2,0.901028,699.5
17,2707.26,0.591708,5,0.894041,764.8
18,2855.84,0.730556,4,0.91577,583.75
19,3231.33,0.917563,5,0.897113,663.6
21,3421.42,1.26984,4,0.946716,517
22,3613.54,1.1326,5,0.895826,579.6
23,4504.48,1.82959,4,0.882009,377.5
27,4807.29,2.66496,2,0.832694,251
30,5013.2,2.76226,4,0.915327,274.5
31,5433.1,3.35989,3,0.928759,267
33,6081.78,3.6743,3,0.916298,224
36,6525.91,4.03347,3,0.891379,225.333
38,6753.35,3.35846,3,0.826199,290.333
39,7454.53,5.46203,2,0.912479,160.5
42,7934.31,5.41803,2,0.914521,170
44,8932.92,5.05687,2,0.779249,236.5
48,9185.26,6.88984,1,0.91463,165
49,9715.51,4.04559,1,0.761219,231
