partial,f,sigma,count,meanR2,meanFittedFrameCount
1,45.7581,0.248177,5,0.912034,1270.2
2,91.5161,0.24023,5,0.924211,1272.8
3,138.62,0.239479,5,0.929904,1271.8
4,184.378,0.25092,5,0.860423,1272.8
5,230.136,0.222457,5,0.820533,1272.6
6,277.24,0.297351,5,0.926641,1226.2
9,415.86,0.204833,5,0.860876,1271.2
10,461.887,0.210877,5,0.727443,1271.6
11,508.722,0.167381,5,0.738679,1273.6
12,555.826,0.263682,5,0.810173,1268.2
13,601.584,0.233183,5,0.762937,1267
14,648.688,0.257391,5,0.750627,1265.6
16,742.896,0.184555,5,0.636991,1273
17,789.999,0.21679,1,0.754662,1159
18,837.103,0.260326,5,0.823536,1267.6
19,885.553,0.247665,5,0.76233,1270.6
20,932.657,0.290057,3,0.838829,1264.33
21,981.107,0.381768,5,0.893952,1231.6
22,1029.56,0.194624,5,0.701417,1272
23,1079.35,0.302751,5,0.851321,1267.4
25,1204.51,1.1652,3,0.858068,480.333
26,1250.61,0.770553,4,0.865485,623.25
27,1297.38,0.732834,4,0.890374,661.5
28,1344.48,0.670789,2,0.917267,674
29,1391.58,0.90452,2,0.947448,484
33,1619.03,0.583399,5,0.934678,845.8
34,1670.44,0.555401,5,0.922345,886
35,1722.12,0.519005,5,0.945837,927.2
36,1773.8,0.551957,5,0.917034,940
37,1824.94,0.501274,5,0.981193,1045.2
38,1877.43,0.544902,5,0.952507,943.2
39,1929.91,0.541201,4,0.930284,864.75
40,1982.4,0.638133,2,0.956731,803
41,2056.42,0.759094,3,0.954851,701.667
42,2104.87,0.833281,2,0.961011,620
47,2414.41,0.89022,2,0.958396,552.5
48,2470.04,0.75498,3,0.952508,662.667
49,2526.11,0.901289,2,0.963397,566.5
50,2581.63,0.934995,4,0.968347,563.25
51,2639.16,0.922847,4,0.968425,550.5
52,2697.03,0.973204,3,0.959504,566.667
57,2639.16,1.05684,1,0.956316,378
59,2695.69,1.03374,2,0.919449,434
60,2753.56,1.09738,5,0.960066,472.2
61,3181.87,1.47019,4,0.941855,533.75
67,3229.08,1.40659,3,0.919307,518.333
68,3288.52,1.32264,4,0.947099,552.75
69,3810.37,1.81483,4,0.893712,463.5
71,4603.26,2.57238,5,0.850926,342.2
89,5918.94,2.88454,3,0.912055,283
