partial,f,sigma,count,meanR2,meanFittedFrameCount
1,98.2452,0.321776,5,0.904731,1262
2,196.49,0.219129,2,0.684534,1261.5
4,391.635,0.24353,5,0.717208,1267.6
5,489.88,0.262235,5,0.835915,1269
6,588.126,0.197134,4,0.688528,1263
7,686.371,0.245067,5,0.853187,1266.6
8,784.616,0.15523,5,0.633598,1270.4
9,884.207,0.219121,5,0.724562,1267.2
10,982.452,0.27441,5,0.730199,1069.8
11,1082.04,0.240512,5,0.749981,1267
12,1181.63,0.29066,5,0.798259,1250.2
13,1281.23,0.285129,5,0.833247,1234
14,1380.82,0.326837,5,0.876363,1199.8
15,1481.75,0.378698,5,0.915299,1191.4
16,1582.69,0.425677,5,0.947593,1180.6
17,1683.63,0.394583,5,0.946743,1212.8
18,1784.56,0.437457,5,0.907851,1057.2
19,1886.85,0.438414,5,0.926848,1035.4
20,1989.13,0.410043,4,0.904829,1173.25
21,2091.41,0.545889,5,0.961201,941
22,2195.04,0.549715,5,0.898645,778.4
23,2300.02,0.605511,2,0.921202,810
24,2404.99,0.609752,3,0.951935,840
29,2962.16,1.07171,1,0.878019,385
30,2804.43,0.637176,5,0.918268,747.2
31,2932.55,0.765499,2,0.939708,605
34,3040.22,0.860293,5,0.936256,813.8
35,3148.42,1.08343,5,0.939021,689.2
36,3814.07,1.44579,4,0.886502,486
43,4627.62,2.04137,4,0.95431,388
50,4867.85,1.97579,4,0.920501,379.25
52,5112.34,2.46123,3,0.910328,320
55,5870.94,2.56364,3,0.883006,311.333
61,7077.02,3.4562,2,0.906057,254.5
70,7789.64,3.46158,2,0.763805,358
75,8080.33,3.9243,1,0.889874,277
77,9788.19,4.12945,1,0.812819,250
89,10617.2,5.39173,1,0.844586,194
