partial,f,sigma,count,meanR2,meanFittedFrameCount
1,52.4872,0.21305,5,0.777609,1273.2
2,103.629,0.265336,5,0.934531,1270
3,154.77,0.232299,5,0.793571,1275
4,207.257,0.213521,5,0.774585,1272.8
7,363.373,0.195542,1,0.686595,1274
8,414.514,0.140179,5,0.724097,1270.8
9,467.001,0.223085,3,0.7048,1270.33
10,519.489,0.186289,5,0.746336,1270.2
11,570.63,0.179127,5,0.72006,1269.2
12,623.117,0.214005,4,0.802334,1270.5
13,675.604,0.277269,5,0.815929,1268
14,728.091,0.232604,5,0.729209,1252.6
15,780.848,0.224694,5,0.758592,1267.4
16,833.873,0.240727,5,0.827057,1271.4
17,886.899,0.197843,5,0.67976,1269.4
18,939.386,0.250229,5,0.871862,1267.6
19,992.142,0.307706,5,0.851662,1193.2
20,1047.05,0.231433,5,0.826645,1119.4
21,1102.23,0.297303,4,0.854909,1260.5
22,1157.41,0.352239,1,0.981999,1267
26,1403.7,0.67471,3,0.933019,685.667
28,1509.12,0.732325,3,0.923283,657
29,1562.5,0.602366,1,0.937604,727
31,1697.09,0.482824,2,0.938465,1004
32,1754.96,0.493088,4,0.971494,1068.25
33,1811.14,0.444128,4,0.932356,1154
34,1868.54,0.456027,5,0.956467,1150.4
35,1925.61,0.491849,5,0.966885,1106.2
36,1980.79,0.517316,5,0.973229,1055.8
37,2038.12,0.490932,5,0.992052,1169
38,2098.14,0.569593,4,0.970813,950.5
39,2161.4,0.7042,2,0.774827,390.5
41,2305.4,0.789057,2,0.980454,622
42,2359.23,0.824657,1,0.979582,575
43,2444.02,0.702526,4,0.97201,769.75
44,2505.66,0.739593,5,0.977831,737.4
45,2566.15,0.76685,4,0.976589,694.25
46,2627.72,0.836484,4,0.946857,624.5
47,2686.27,1.03117,1,0.994381,536
48,2752.21,0.85145,2,0.989354,646.5
52,2625.71,0.86573,1,0.887886,434
53,2933.63,1.12509,5,0.965985,453.8
57,2994.46,1.02056,1,0.990596,545
58,2997.15,1.05147,2,0.976399,471
59,3602.44,1.43246,4,0.927366,515.25
68,3951.01,2.0647,4,0.933265,406.25
70,3980.28,2.30647,2,0.916192,481.5
71,4186.86,1.62191,1,0.77048,575
76,4382.01,2.22589,3,0.94942,369.667
77,4623.58,2.73771,2,0.915681,292.5
82,4709.49,2.67918,3,0.902821,363.333
83,5198.92,3.07688,3,0.880018,293
85,5372.53,1.89072,1,0.746504,484
91,5529.1,2.92914,3,0.837193,303
93,5718.41,3.04979,3,0.827349,349.667
95,5883.95,3.79632,2,0.892168,281.5
