partial,f,sigma,r2,fittedFrameCount
1,36.3373,0.223684,0.926074,1274
2,72.6746,0.182889,0.871789,1275
3,109.012,0.156381,0.73347,1276
4,146.695,0.152428,0.79639,1276
6,219.37,0.16456,0.759002,1274
7,255.707,0.157044,0.812217,1276
8,293.39,0.194376,0.918425,1276
9,329.727,0.115935,0.633554,1250
10,366.064,0.151394,0.744132,1276
11,403.748,0.166349,0.697857,1274
12,440.085,0.187395,0.734273,1274
13,477.768,0.234367,0.94526,1272
14,515.451,0.203591,0.930453,1271
15,551.788,0.170562,0.765882,1274
16,589.471,0.186236,0.806792,1273
17,627.155,0.246038,0.941577,1272
18,664.838,0.232592,0.897539,1271
19,702.521,0.211496,0.80631,1270
20,740.204,0.204514,0.889627,1273
21,777.887,0.216368,0.889819,1271
22,816.916,0.234992,0.932681,1270
23,854.599,0.253154,0.936094,1249
24,893.628,0.294783,0.957349,1273
25,934.003,0.324674,0.952716,1269
26,974.377,0.379656,0.922115,1267
27,1028.21,1.32857,0.945416,312
28,1067.24,0.922047,0.998933,583
29,1103.58,0.923524,0.994085,552
34,1331.02,0.48838,0.980296,1125
35,1371.4,0.517879,0.987625,1068
36,1413.12,0.575922,0.984412,954
37,1454.84,0.599335,0.960726,868
38,1496.56,0.572482,0.996162,997
39,1543.66,1.28458,0.851302,390
40,1581.34,0.873217,0.942121,489
41,1624.41,0.707691,0.957768,758
42,1667.48,0.701135,0.974514,767
43,1710.54,0.759213,0.992654,761
44,1753.61,0.854845,0.931037,607
45,1799.37,0.915142,0.926641,558
50,2057.77,2.27374,0.952113,260
51,2112.95,1.04554,0.982361,525
52,2161.4,1.12834,0.956641,460
53,2207.15,1.06864,0.969922,489
54,2254.26,1.20596,0.938423,414
55,2302.71,1.23342,0.957572,437
56,2349.81,1.11617,0.983628,475
57,2398.26,1.2352,0.982449,430
58,2448.06,1.24954,0.993067,451
60,2570.53,1.48042,0.989473,366
63,2744.14,1.23297,0.999542,472
64,2785.86,1.2236,0.998902,437
65,2850.46,1.50787,0.986394,373
66,2902.94,1.50776,0.982635,345
67,2955.43,1.91264,0.999741,307
69,3084.63,1.99971,0.996682,416
79,3170.76,2.02956,0.985016,382
80,3598.74,3.3679,0.978692,221
84,4629.64,2.50596,0.990642,310
