partial,f,sigma,r2,fittedFrameCount
1,87.4786,0.295222,0.858766,1263
2,174.957,0.262417,0.665772,1264
3,261.09,0.20379,0.765422,1272
4,348.569,0.275259,0.637416,1268
5,436.047,0.201448,0.766838,1265
7,611.005,0.20402,0.738279,1271
8,699.829,0.159162,0.64802,1273
9,787.308,0.223561,0.69714,1271
10,874.786,0.226611,0.746242,1267
11,963.611,0.240306,0.767798,1164
12,1051.09,0.337525,0.799064,1263
13,1139.91,0.294953,0.706648,1261
14,1228.74,0.268797,0.734869,1263
15,1317.56,0.306108,0.861765,1192
16,1407.73,0.446276,0.877034,880
17,1496.56,0.337367,0.911977,1222
18,1586.73,0.355756,0.912487,1250
19,1678.24,0.413221,0.907519,1072
20,1768.41,0.606883,0.89282,675
21,1861.28,0.371444,0.906535,1254
28,2546.3,0.675683,0.904439,700
29,2635.13,0.703134,0.880633,625
33,2600.13,0.814508,0.939158,563
34,2814.12,0.73276,0.942873,680
36,3472.23,0.912977,0.962506,766
44,3571.82,0.98871,0.947021,683
45,4291.84,1.33103,0.943187,515
52,4395.46,1.47651,0.943519,448
53,5045.5,2.02673,0.959339,340
59,6189.45,2.84961,0.909948,220
69,6679.33,3.89246,0.869369,211
73,7173.25,4.9915,0.922509,213
77,9200.06,5.18358,0.885641,128
92,9488.07,4.93879,0.871695,222
94,10226.9,2.53817,0.655643,335
