partial,f,sigma,r2,fittedFrameCount
1,92.8619,0.374448,0.976224,1261
2,184.378,0.195075,0.73166,1270
5,461.618,0.212744,0.706795,1261
6,554.48,0.182972,0.641842,1273
7,647.342,0.197276,0.728701,1271
9,834.412,0.273805,0.893577,1269
10,927.274,0.205693,0.712268,1271
11,1021.48,0.343104,0.886003,1272
12,1114.34,0.270207,0.740536,1267
13,1208.55,0.204369,0.69976,1270
14,1302.76,0.274878,0.801072,1255
15,1396.97,0.369522,0.813193,931
16,1492.52,0.327234,0.889102,1270
17,1586.73,0.484073,0.979916,1166
18,1682.28,0.439933,0.943537,1209
19,1777.84,0.382929,0.896187,1146
20,1874.73,0.394789,0.896386,1276
21,1972.98,0.466519,0.922992,1085
31,2760.29,0.678853,0.913797,735
34,2946.01,0.845045,0.859444,453
36,3065.79,1.23918,0.894925,829
37,3271.7,0.885266,0.703323,992
