partial,f,sigma,r2,fittedFrameCount
2,123.816,0.266419,0.973237,1269
3,184.378,0.273659,0.758347,1272
4,246.286,0.232502,0.713544,1272
5,308.194,0.219225,0.806072,1273
6,370.102,0.167252,0.737879,1273
9,555.826,0.212817,0.773283,1255
10,617.734,0.248096,0.868894,1273
12,742.896,0.182667,0.672784,1270
13,804.803,0.252204,0.693906,1269
14,866.711,0.173372,0.687808,1274
15,929.965,0.176515,0.658867,1270
16,993.219,0.234267,0.777057,1270
17,1056.47,0.283439,0.87398,1270
18,1118.38,0.268478,0.860089,1267
19,1182.98,0.27366,0.812986,1270
20,1247.58,0.272,0.759192,1263
21,1312.18,0.351307,0.951988,1252
34,2227.34,0.376285,0.932935,1208
35,2295.98,0.428399,0.960312,1268
37,2433.25,0.520356,0.950604,967
38,2501.89,0.536222,0.983921,993
45,2854.5,0.619184,0.956908,852
49,2924.48,0.684984,0.980238,711
50,2998.5,0.620248,0.952361,791
51,3067.14,1.0644,0.870063,806
52,3364.56,1.32423,0.908658,840
53,4225.89,1.29876,0.876654,399
67,5071.07,1.90003,0.823321,561
