partial,f,sigma,r2,fittedFrameCount
1,55.1788,0.268126,0.88376,1271
2,110.358,0.233911,0.841085,1272
3,164.191,0.220276,0.781703,1272
4,219.37,0.207539,0.87065,1270
5,274.548,0.281398,0.800421,1273
6,329.727,0.192183,0.699535,1269
7,384.906,0.300278,0.852654,1272
10,550.443,0.207822,0.757259,1272
11,605.621,0.21527,0.813062,1272
12,660.8,0.244277,0.78881,1269
13,715.979,0.285626,0.815663,1267
14,771.158,0.214223,0.746004,1270
15,827.682,0.18922,0.616883,1265
16,882.861,0.222385,0.737197,1276
17,938.04,0.229482,0.755124,1197
18,994.565,0.305735,0.903662,1259
19,1051.09,0.185365,0.608608,1218
20,1110.31,0.301805,0.876028,1228
26,1487.14,0.859769,0.951484,527
31,1796.68,0.47286,0.969684,1134
32,1855.89,0.487025,0.989927,1138
33,1915.11,0.515722,0.958048,888
34,1977.02,0.425295,0.978215,1274
35,2033.54,0.47887,0.985295,1157
36,2096.8,0.491368,0.979512,1124
37,2157.36,0.484,0.971472,1157
41,2441.33,0.622647,0.981353,774
42,2519.38,0.73039,0.999803,804
43,2588.02,0.68369,0.927386,742
44,2649.93,0.774833,0.967704,742
45,2707.8,0.729743,0.938186,749
46,2777.78,0.825715,0.966758,649
51,2874.68,0.906672,0.926465,550
55,3593.35,1.28959,0.950466,466
65,3986.33,2.21152,0.91016,413
70,4312.02,2.99801,0.937838,287
75,4472.18,2.59683,0.849752,309
77,4873.23,2.24114,0.82471,279
82,5028,2.69127,0.884468,410
83,5075.11,2.01594,0.817155,493
84,6468.04,5.54041,0.86562,159
