partial,f,sigma,r2,fittedFrameCount
1,156.116,0.388578,0.858841,1013
4,621.771,0.194287,0.642575,1015
5,777.887,0.250136,0.81061,1015
6,935.349,0.307786,0.687208,1008
7,1091.46,0.331284,0.803852,1002
8,1248.93,0.285733,0.712285,1007
9,1406.39,0.366364,0.905366,1007
10,1565.19,0.321785,0.761677,1013
11,1725.35,0.52947,0.997248,993
12,1888.19,0.556488,0.893965,819
19,2861.22,0.75462,0.960337,719
21,3365.91,1.31272,0.969175,500
24,3707.75,1.05688,0.938949,546
26,3881.36,1.20246,0.92872,508
28,4233.97,1.40548,0.958995,461
30,5139.71,2.60633,0.914893,298
35,5326.78,3.4032,0.901882,298
36,6492.26,4.74719,0.910088,235
42,6690.1,2.99914,0.818277,352
43,7734.46,1.1208,0.513832,545
