partial,f,sigma,r2,fittedFrameCount
1,40.3748,0.199746,0.920007,1279
2,82.0953,0.160565,0.811596,1276
3,122.47,0.168431,0.825369,1276
4,164.191,0.253588,0.967723,1278
6,246.286,0.142581,0.770093,1277
7,288.007,0.139884,0.646366,1277
8,328.381,0.153784,0.803198,1277
9,370.102,0.168376,0.845209,1275
11,453.543,0.124816,0.628724,1274
12,495.264,0.16426,0.799006,1274
13,536.984,0.196911,0.869147,1272
14,578.705,0.192554,0.812754,1273
15,620.425,0.204977,0.860065,1274
16,662.146,0.178547,0.704322,1273
17,705.212,0.189704,0.876097,1276
18,746.933,0.191192,0.854209,1273
19,789.999,0.258106,0.954386,1278
20,833.066,0.239742,0.895285,1272
21,874.786,0.254252,0.923976,1267
22,917.853,0.289459,0.963361,1268
23,960.919,0.293019,0.943669,1269
24,1005.33,0.320149,0.934439,1274
25,1049.74,0.328236,0.984959,1274
26,1094.16,0.330014,0.962392,1275
27,1154.72,1.56042,0.993584,361
37,1637.87,0.674526,0.920339,751
38,1687.66,0.777841,0.988719,680
39,1733.42,0.686877,0.879003,641
40,1783.22,0.70544,0.972224,749
41,1831.67,0.70698,0.949797,761
42,1880.12,0.880979,0.999958,671
43,1928.57,0.800658,0.967516,668
44,1978.36,0.812724,0.999982,723
45,2028.16,0.837304,0.994233,675
46,2079.3,0.884806,0.990908,626
47,2129.1,1.03738,0.994665,540
48,2181.58,0.991399,0.98077,535
50,2310.78,2.81993,0.984812,189
57,2711.84,1.31888,0.964414,361
58,2768.36,1.19845,0.958779,383
59,2824.89,1.29605,0.970859,406
60,2888.14,2.50994,0.970747,207
61,2937.94,1.2811,0.964971,385
69,3465.5,2.144,0.924766,340
79,4042.86,2.2228,0.875773,285
88,4621.56,3.2401,0.919811,205
96,4953.98,4.68798,0.883154,233
