partial,f,sigma,r2,fittedFrameCount
1,57.8705,0.286025,0.867837,1271
2,115.741,0.193231,0.767858,1272
3,174.957,0.249697,0.78706,1264
4,232.828,0.233233,0.910561,1269
5,290.698,0.285748,0.877481,1270
7,407.785,0.272988,0.882436,1268
8,465.656,0.154416,0.650495,1270
9,524.872,0.22216,0.721353,1272
11,640.613,0.148656,0.627608,1274
12,699.829,0.202797,0.641502,1272
13,757.7,0.181736,0.677483,1273
14,816.916,0.227996,0.766683,1268
16,935.349,0.228746,0.737399,1272
17,994.565,0.201547,0.762407,1270
18,1053.78,0.229104,0.712384,1268
19,1114.34,0.307182,0.846998,1263
20,1176.25,0.327526,0.911139,1257
26,1575.96,0.513829,0.901343,855
28,1693.05,0.494673,0.919596,879
30,1837.05,0.373917,0.938637,1257
31,1898.96,0.428859,0.926785,1224
32,1960.87,0.403377,0.950676,1252
33,2022.78,0.416159,0.956949,1202
34,2084.68,0.440414,0.939943,1103
35,2149.28,0.425805,0.934565,1139
36,2224.65,0.567667,0.904485,753
40,2523.42,0.575555,0.930043,868
41,2590.71,0.564957,0.946237,890
42,2658,0.553765,0.949424,925
43,2719.91,0.560159,0.977809,997
44,2788.55,0.577335,0.974413,1001
50,3116.93,0.644742,0.979255,1021
56,3832.91,1.2255,0.972077,632
65,3875.98,0.919934,0.952557,663
66,4018.63,0.953926,0.928353,655
68,4450.64,1.18831,0.955454,542
73,4604.07,1.85233,0.947879,349
75,5957.97,2.56134,0.94069,253
90,6900.05,4.82528,0.920743,228
