partial,f,sigma,r2,fittedFrameCount
1,32.2998,0.2313,0.961189,1279
2,64.5996,0.205128,0.897817,1216
3,96.8994,0.129319,0.606738,1275
4,130.545,0.174102,0.833449,1275
5,162.845,0.155294,0.804187,1274
6,195.145,0.150564,0.708301,1276
7,227.444,0.17016,0.85211,1268
9,293.39,0.165602,0.792053,1255
10,327.036,0.154245,0.8096,1277
11,359.335,0.148757,0.708611,1274
13,425.281,0.14287,0.636957,1276
15,492.572,0.174836,0.747547,1274
16,526.218,0.170065,0.801181,1274
17,559.863,0.180095,0.712611,1272
18,593.509,0.199806,0.830073,1273
19,627.155,0.167887,0.730906,1273
20,660.8,0.194783,0.815492,1271
21,695.792,0.203925,0.866404,1271
22,729.437,0.211899,0.869331,1272
23,764.429,0.21424,0.848511,1269
24,799.42,0.225214,0.892911,1273
25,834.412,0.244751,0.828768,1269
26,869.403,0.264606,0.942147,1267
27,905.74,0.260497,0.962377,1272
28,940.732,0.29714,0.952296,1153
29,977.069,0.301455,0.971773,1191
30,1013.41,0.315649,0.951897,1262
31,1049.74,0.364333,0.995123,1254
32,1086.08,0.371633,0.985143,1261
33,1123.76,0.39403,0.962478,1276
34,1187.02,0.874744,0.995139,714
37,1287.95,0.949611,0.993286,618
39,1356.59,0.749186,0.979804,783
41,1460.22,0.93968,0.999946,620
42,1495.21,0.96678,0.999926,593
43,1528.86,1.01662,0.998099,515
45,1625.76,0.805767,0.923218,544
46,1667.48,0.670327,0.973801,829
47,1710.54,0.803472,0.95733,703
48,1753.61,0.768964,0.955413,677
49,1795.33,0.913855,0.999834,629
50,1838.4,0.869137,0.946869,613
51,1880.12,0.882994,0.993734,645
52,1925.88,0.904234,0.996784,628
53,1967.6,0.949311,0.987749,623
54,2012.01,1.01288,0.989834,569
55,2056.42,1.01736,0.998344,555
56,2102.18,1.03277,0.982759,525
57,2147.94,1.05622,0.99093,538
58,2192.35,1.1116,0.999487,508
59,2239.45,1.07917,0.934644,462
60,2285.21,1.00392,0.951319,493
61,2332.31,1.22417,0.942977,413
62,2378.07,1.21372,0.993503,455
63,2427.87,1.12459,0.985489,478
64,2476.32,1.09617,0.988935,504
65,2524.77,1.1014,0.973133,497
71,2855.84,1.78239,0.997508,321
74,2773.75,1.60397,0.967618,338
81,3145.19,2.2821,0.961867,309
86,3596.04,3.05819,0.939625,234
87,4285.11,3.86536,0.975446,188
