partial,f,sigma,r2,fittedFrameCount
1,277.24,0.420373,0.874334,751
2,554.48,0.339452,0.606138,742
3,833.066,0.362004,0.830956,752
4,1111.65,0.52831,0.812197,750
5,1391.58,0.303685,0.620099,746
6,1674.21,0.549107,0.889356,748
7,1958.18,0.588071,0.922146,744
8,2243.49,0.547788,0.804258,729
9,2535.53,0.720773,0.91816,630
11,3415.7,1.28701,0.962883,511
14,3718.52,1.68546,0.969033,495
15,4024.02,1.87015,0.911202,383
16,4332.21,1.64732,0.929774,374
17,5618.82,3.52515,0.957377,190
18,5953.93,3.93792,0.919061,170
23,6294.42,3.87814,0.912088,168
24,6645.68,5.40909,0.93288,211
25,7353.59,5.56232,0.873903,205
27,8096.48,3.6773,0.712493,236
