partial,f,sigma,r2,fittedFrameCount
1,196.49,0.299099,0.927324,1011
2,391.635,0.274707,0.874156,1009
3,588.126,0.215731,0.658372,1014
4,784.616,0.264668,0.731568,1007
5,982.452,0.379899,0.895916,1002
6,1180.29,0.396525,0.879314,1005
7,1378.12,0.386699,0.885217,991
8,1577.31,0.408616,0.907027,940
9,1779.18,0.47196,0.917364,997
10,1982.4,0.510372,0.96479,927
11,2184.27,0.599986,0.920293,704
12,2388.84,0.662436,0.960128,783
13,2594.75,1.04833,0.965806,560
14,2803.35,0.95884,0.910532,573
15,3013.3,1.00442,0.973438,704
18,3873.28,1.42338,0.916526,430
22,5002.43,2.04682,0.964901,324
28,5477.51,2.92824,0.922121,274
30,5715.72,2.65151,0.907596,231
31,6459.96,4.80879,0.888852,196
35,6710.28,3.97885,0.884304,166
36,7228.43,3.46356,0.807005,286
38,8599.82,7.81506,0.926716,149
