partial,f,sigma,r2,fittedFrameCount
2,415.86,0.28043,0.725052,1012
3,623.117,0.278744,0.857279,1011
4,831.72,0.352866,0.842939,1002
5,1040.32,0.34472,0.808278,999
6,1250.27,0.367912,0.839368,994
7,1461.57,0.478808,0.869355,852
8,1674.21,0.53934,0.964509,991
9,1886.85,0.554189,0.939253,877
10,2100.83,0.577483,0.910591,802
11,2317.51,0.652291,0.92832,797
12,2535.53,0.902241,0.984574,589
13,2756.25,0.957239,0.955106,495
14,2976.97,0.927212,0.952767,533
17,3201.72,1.02012,0.971502,719
18,4360.47,1.89202,0.964964,359
24,5091.26,2.18238,0.971414,317
27,5338.89,2.42233,0.94035,284
28,5851.65,3.30065,0.897518,218
30,6918.89,5.54258,0.863437,153
35,7196.13,3.25492,0.784616,312
36,7755.99,3.15155,0.716982,304
