velocity,pitch,f0,partial,partialFreq,sigma,intercept,r2
50,C8,4186.01,2,8719.6,34.0956,-4.28283,0.973248
50,E4,329.628,1,329.727,0.509441,5.65223,0.983234
50,E4,329.628,4,1322.95,0.356919,2.66801,0.892988
50,E4,329.628,5,1658.06,0.435259,2.07986,0.870837
50,E4,329.628,6,1995.86,0.42249,0.956442,0.77108
50,E4,329.628,7,2335.01,0.489455,0.566084,0.878437
50,E4,329.628,8,2678.19,0.56716,-0.529495,0.657735
50,E4,329.628,10,3025.42,0.619691,-2.03162,0.838884
50,E4,329.628,11,3378.02,0.924825,-2.06694,0.824643
50,E4,329.628,12,4096.69,1.21202,-2.89366,0.733179
50,D1,36.7081,1,36.3373,0.162638,1.71254,0.93945
50,D1,36.7081,2,72.6746,0.160223,4.49354,0.937285
50,D1,36.7081,3,109.012,0.123573,5.20897,0.814402
50,D1,36.7081,4,146.695,0.136833,5.37369,0.906756
50,D1,36.7081,5,183.032,0.121623,4.23353,0.796966
50,D1,36.7081,6,219.37,0.10496,3.56452,0.710044
50,D1,36.7081,7,255.707,0.124804,4.44127,0.88507
50,D1,36.7081,8,292.044,0.136785,1.69157,0.906298
50,D1,36.7081,9,329.727,0.0995479,3.79956,0.647107
50,D1,36.7081,10,366.064,0.0992849,2.71058,0.626785
50,D1,36.7081,11,403.748,0.106775,3.39147,0.726078
50,D1,36.7081,12,440.085,0.127312,3.16427,0.770124
50,D1,36.7081,13,477.768,0.18232,2.18671,0.936258
50,D1,36.7081,14,514.105,0.16556,1.77293,0.929386
50,D1,36.7081,15,551.788,0.163786,1.71272,0.908207
50,D1,36.7081,16,589.471,0.168013,1.12696,0.926107
50,D1,36.7081,17,627.155,0.190445,0.891273,0.940865
50,D1,36.7081,18,664.838,0.199001,1.96046,0.941691
50,D1,36.7081,19,702.521,0.201352,0.771961,0.934793
50,D1,36.7081,20,740.204,0.184444,2.35393,0.926517
50,D1,36.7081,21,777.887,0.217835,3.04447,0.975786
50,D1,36.7081,22,816.916,0.214541,2.58725,0.972705
50,D1,36.7081,23,854.599,0.220127,2.76412,0.94605
50,D1,36.7081,24,893.628,0.265064,0.892737,0.986658
50,D1,36.7081,25,934.003,0.284428,1.029,0.992015
50,D1,36.7081,27,1028.21,2.9402,0.575364,0.959208
50,D1,36.7081,34,1331.02,0.472453,-0.136264,0.972179
50,D1,36.7081,35,1371.4,0.605869,0.499844,0.947066
50,D1,36.7081,36,1413.12,0.519322,1.22068,0.975829
50,D1,36.7081,37,1454.84,0.547765,0.193999,0.988945
50,D1,36.7081,38,1496.56,0.537146,0.274191,0.991977
50,D1,36.7081,39,1540.97,0.501287,-0.613658,0.966537
50,D1,36.7081,40,1581.34,0.624998,0.133243,0.986006
50,D1,36.7081,41,1624.41,0.640187,-0.0461927,0.98639
50,D1,36.7081,42,1667.48,0.649903,-0.376215,0.989213
50,D1,36.7081,43,1710.54,0.681052,-0.486816,0.977382
50,D1,36.7081,44,1753.61,0.750721,-0.232357,0.965677
50,D1,36.7081,45,1799.37,0.755434,-0.744466,0.969621
50,D1,36.7081,50,2057.77,2.68286,-0.421305,0.972253
50,D1,36.7081,51,2112.95,0.969103,-0.699034,0.985922
50,D1,36.7081,52,2160.05,1.11952,-0.423078,0.98533
50,D1,36.7081,53,2207.15,1.00339,-0.997496,0.985879
50,D1,36.7081,54,2254.26,1.14446,-1.4308,0.955479
50,D1,36.7081,60,2570.53,1.39285,-1.29872,0.986174
50,D1,36.7081,69,3084.63,0.302183,-6.6835,0.553818
50,D1,36.7081,79,3170.76,0.256931,-7.48844,0.534455
50,As4,466.164,1,465.656,0.410071,3.56891,0.772282
50,As4,466.164,2,934.003,0.425484,3.25869,0.816109
50,As4,466.164,3,1403.7,0.437123,1.93682,0.752991
50,As4,466.164,4,1877.43,0.507021,2.21456,0.925987
50,As4,466.164,5,2356.54,0.58721,1.25778,0.768885
50,As4,466.164,6,2841.04,0.63008,0.306184,0.901655
50,As4,466.164,8,3332.26,1.01678,-0.232825,0.943292
50,As4,466.164,9,3834.26,1.54535,-1.97007,0.862308
50,As4,466.164,10,4342.98,3.0627,-2.45325,0.6957
50,As4,466.164,11,5396.76,5.82173,-1.99047,0.922669
50,B5,987.767,1,989.182,0.919083,3.95189,0.858397
50,B5,987.767,2,1985.09,0.839149,1.09481,0.830305
50,B5,987.767,3,3002.54,1.4085,-0.432808,0.866329
50,B5,987.767,4,4040.17,2.62437,-1.25839,0.856707
50,B5,987.767,5,5114.14,5.87928,-1.23419,0.870211
50,B5,987.767,6,6228.48,7.80766,-4.48131,0.847084
50,B5,987.767,8,7389.93,5.20753,-7.86378,0.677925
50,Ds6,1244.51,1,1247.58,1.05342,3.86115,0.766713
50,Ds6,1244.51,2,2509.96,1.19736,-1.07492,0.804797
50,Ds6,1244.51,3,3800.61,2.59243,-2.67434,0.859346
50,Ds6,1244.51,4,5139.71,6.4814,-1.32133,0.876193
50,Ds6,1244.51,5,6536.67,12.7756,-2.57337,0.932344
50,D6,1174.66,1,1177.6,0.741558,2.67388,0.639008
50,D6,1174.66,2,2367.31,1.35824,1.37951,0.932269
50,D6,1174.66,3,3582.59,2.27147,-0.89989,0.881941
50,D6,1174.66,4,4838.24,4.83477,-2.48289,0.877153
50,D6,1174.66,5,6145.04,10.5957,-2.48413,0.88296
50,E3,164.814,1,164.191,0.259188,4.08594,0.946538
50,E3,164.814,2,329.727,0.201643,4.06056,0.795442
50,E3,164.814,3,493.918,0.226986,3.02771,0.886896
50,E3,164.814,4,659.454,0.168365,1.94695,0.705771
50,E3,164.814,5,824.991,0.157296,2.65123,0.67917
50,E3,164.814,6,990.527,0.287817,0.719559,0.860474
50,E3,164.814,7,1157.41,1.15667,4.77186,0.967535
50,E3,164.814,8,1324.29,0.346322,-0.366693,0.909335
50,E3,164.814,9,1491.17,0.23835,1.25883,0.641884
50,E3,164.814,11,1828.98,0.276281,-1.15736,0.899588
50,E3,164.814,18,2688.96,0.299376,-1.65734,0.921538
50,E3,164.814,19,3217.87,0.43736,-2.23682,0.786765
50,E3,164.814,22,3398.21,0.757862,-1.9899,0.881334
50,E3,164.814,23,3945.96,0.57701,-2.31877,0.702627
50,E3,164.814,27,4131.68,0.810902,-3.5508,0.873401
50,E3,164.814,28,5486.93,2.42661,-2.79488,0.794833
50,Ds1,38.8909,1,39.0289,0.179754,2.1943,0.959451
50,Ds1,38.8909,2,78.0579,0.135905,4.21142,0.875338
50,Ds1,38.8909,3,115.741,0.133512,5.42785,0.901252
50,Ds1,38.8909,4,154.77,0.106552,4.3451,0.731231
50,Ds1,38.8909,5,193.799,0.13106,4.71632,0.888942
50,Ds1,38.8909,6,232.828,0.10622,2.54039,0.823545
50,Ds1,38.8909,7,271.857,0.133908,3.91585,0.901299
50,Ds1,38.8909,8,310.886,0.0981681,2.11266,0.65544
50,Ds1,38.8909,9,349.915,0.113784,3.62134,0.781195
50,Ds1,38.8909,10,388.943,0.141362,4.58544,0.917087
50,Ds1,38.8909,11,427.972,0.16722,4.15722,0.944253
50,Ds1,38.8909,12,467.001,0.193293,3.31871,0.954232
50,Ds1,38.8909,13,506.03,0.182126,3.44127,0.948454
50,Ds1,38.8909,14,545.059,0.201963,2.92829,0.971681
50,Ds1,38.8909,15,585.434,0.208551,2.60749,0.974395
50,Ds1,38.8909,16,624.463,0.178624,0.813489,0.906206
50,Ds1,38.8909,17,664.838,0.180643,1.16373,0.875569
50,Ds1,38.8909,18,705.212,0.188905,1.17911,0.945776
50,Ds1,38.8909,19,744.241,0.197907,2.54503,0.952815
50,Ds1,38.8909,20,784.616,0.213405,2.22474,0.966737
50,Ds1,38.8909,21,824.991,0.211503,2.12074,0.964093
50,Ds1,38.8909,22,866.711,0.256258,2.9281,0.979818
50,Ds1,38.8909,23,907.086,0.283306,3.67479,0.993609
50,Ds1,38.8909,24,947.461,0.278672,1.01713,0.988181
50,Ds1,38.8909,25,990.527,0.296114,0.644955,0.974978
50,Ds1,38.8909,26,1032.25,0.346814,0.996884,0.98764
50,Ds1,38.8909,27,1099.54,2.52395,2.72597,0.97485
50,Ds1,38.8909,35,1454.84,0.53928,1.00233,0.98846
50,Ds1,38.8909,36,1499.25,0.541745,1.47205,0.992849
50,Ds1,38.8909,37,1545.01,0.597603,1.13935,0.987023
50,Ds1,38.8909,38,1588.07,0.578759,1.25989,0.991353
50,Ds1,38.8909,39,1633.83,0.723142,0.11913,0.999568
50,Ds1,38.8909,40,1678.24,0.644219,-0.160291,0.985423
50,Ds1,38.8909,41,1724,0.711248,-0.100949,0.979431
50,Ds1,38.8909,42,1769.76,0.643255,-1.4535,0.93671
50,Ds1,38.8909,43,1816.86,0.811956,-0.289334,0.972848
50,Ds1,38.8909,44,1862.62,0.828086,0.49549,0.983638
50,Ds1,38.8909,45,1909.73,0.77206,-0.199249,0.983706
50,Ds1,38.8909,53,2345.77,1.24165,-0.795529,0.998718
50,Ds1,38.8909,65,2754.9,1.23348,-1.61721,0.993485
50,Ds1,38.8909,69,3302.66,0.394339,-6.28882,0.761144
50,B2,123.471,1,123.816,0.231992,4.17643,0.976665
50,B2,123.471,2,246.286,0.170369,4.15969,0.909916
