key,f0,B,order,a,fitError,pointCount
21,27.5,6.87669e-06,1,-0.8025,5.20427e-07,11
22,29.1352,7.57327e-06,1,-0.798,5.77252e-07,11
23,30.8677,8.34042e-06,1,-0.7935,6.4572e-07,11
24,32.7032,9.18528e-06,1,-0.789,7.42632e-07,11
25,34.6478,1.01157e-05,1,-0.784,8.99064e-07,11
26,36.7081,1.11404e-05,1,-0.7795,9.6307e-07,11
27,38.8909,1.22689e-05,1,-0.7745,1.14253e-06,11
28,41.2034,1.35117e-05,1,-0.7695,1.38315e-06,11
29,43.6535,1.48804e-05,1,-0.7645,1.63602e-06,11
30,46.2493,1.63877e-05,1,-0.7595,1.9035e-06,11
31,48.9994,1.80477e-05,1,-0.7545,2.2487e-06,11
32,51.9131,1.98759e-05,1,-0.7495,2.80524e-06,11
33,55,2.18892e-05,1,-0.744,3.32205e-06,11
34,58.2705,2.41065e-05,1,-0.7385,4.09568e-06,11
35,61.7354,2.65484e-05,1,-0.733,5.06336e-06,11
36,65.4064,2.92377e-05,1,-0.7275,6.21929e-06,11
37,69.2957,3.21994e-05,1,-0.722,7.62147e-06,11
38,73.4162,3.5461e-05,1,-0.7165,9.40011e-06,11
39,77.7817,3.90531e-05,1,-0.711,1.17666e-05,11
40,82.4069,4.30091e-05,1,-0.705,1.44055e-05,11
41,87.3071,4.73657e-05,1,-0.699,1.79084e-05,11
42,92.4986,5.21637e-05,1,-0.6935,2.22242e-05,11
43,97.9989,5.74477e-05,1,-0.6875,2.74303e-05,11
44,103.826,6.3267e-05,1,-0.6815,3.39216e-05,11
45,110,6.96757e-05,1,-0.6755,4.19654e-05,11
46,116.541,7.67336e-05,1,-0.6695,5.19228e-05,11
47,123.471,8.45064e-05,1,-0.663,6.39647e-05,11
48,130.813,9.30666e-05,1,-0.657,7.87899e-05,11
49,138.591,0.000102494,1,-0.651,9.71325e-05,11
50,146.832,0.000112876,1,-0.6445,0.000119461,11
51,155.563,0.00012431,1,-0.6385,0.000146713,11
52,164.814,0.000136902,1,-0.632,0.000180139,11
53,174.614,0.00015077,1,-0.626,0.000220567,11
54,184.997,0.000166042,1,-0.6195,0.000270045,11
55,195.998,0.000182862,1,-0.6135,0.000329709,11
56,207.652,0.000201385,1,-0.607,0.000402425,11
57,220,0.000221785,1,-0.601,0.000489803,11
58,233.082,0.000244251,1,-0.595,0.000595631,11
59,246.942,0.000268993,1,-0.5885,0.000722839,11
60,261.626,0.000296241,1,-0.5825,0.000875546,11
61,277.183,0.000326249,1,-0.5765,0.00105867,11
62,293.665,0.000359297,1,-0.5705,0.00127756,11
63,311.127,0.000395692,1,-0.5645,0.00153836,11
64,329.628,0.000435774,1,-0.5585,0.00184822,11
65,349.228,0.000479917,1,-0.5525,0.00221536,11
66,369.994,0.000528531,1,-0.5465,0.00264914,11
67,391.995,0.000582069,1,-0.541,0.00315952,11
68,415.305,0.00064103,1,-0.535,0.00375814,11
69,440,0.000705964,1,-0.5295,0.00445714,11
70,466.164,0.000777476,1,-0.524,0.00527049,11
71,493.883,0.000856232,1,-0.5185,0.00621264,11
72,523.251,0.000942965,1,-0.513,0.00729908,11
73,554.365,0.00103848,1,-0.508,0.00854518,11
74,587.33,0.00114368,1,-0.5025,0.00996838,11
75,622.254,0.00125953,1,-0.4975,0.0115838,11
76,659.255,0.00138711,1,-0.4925,0.0134079,11
77,698.456,0.00152762,1,-0.4875,0.0154559,11
78,739.989,0.00168237,1,-0.483,0.0177411,11
79,783.991,0.00185279,1,-0.478,0.020275,11
80,830.609,0.00204047,1,-0.4735,0.0230666,11
81,880,0.00224716,1,-0.469,0.0261226,11
82,932.328,0.00247479,1,-0.4645,0.029446,11
83,987.767,0.00272547,1,-0.4605,0.0330373,11
84,1046.5,0.00300156,1,-0.456,0.0368935,11
85,1108.73,0.0033056,1,-0.452,0.0410109,11
86,1174.66,0.00364045,1,-0.448,0.0453868,11
87,1244.51,0.00400921,1,-0.4445,0.0500213,11
88,1318.51,0.00441533,1,-0.4265,0.0382492,11
89,1396.91,0.00486259,1,-0.4225,0.0422956,11
90,1479.98,0.00535515,1,-0.4035,0.0310826,11
91,1567.98,0.00589761,1,-0.4,0.0345526,11
92,1661.22,0.00649502,1,-0.38,0.0241054,10
93,1760,0.00715294,1,-0.359,0.0154854,10
94,1864.66,0.0078775,1,-0.355,0.0175505,9
95,1975.53,0.00867547,1,-0.3515,0.0198635,9
96,2093,0.00955426,1,-0.329,0.0116749,8
97,2217.46,0.0105221,1,-0.325,0.0133962,7
98,2349.32,0.0115879,1,-0.3015,0.00676261,7
99,2489.02,0.0127617,1,-0.298,0.00790416,6
100,2637.02,0.0140545,1,-0.295,0.00925341,6
101,2793.83,0.0154781,1,-0.27,0.00372123,6
102,2959.96,0.017046,1,-0.2665,0.0044756,5
103,3135.96,0.0187727,1,-0.2635,0.00540276,5
104,3322.44,0.0206743,1,-0.238,0.00140387,4
105,3520,0.0227685,1,-0.235,0.00177622,4
106,3729.31,0.0250749,1,-0.2325,0.00225703,4
107,3951.07,0.0276149,1,-0.2305,0.00288631,4
108,4186.01,0.0304122,1,-0.204,0.000246369,3
