velocity,pitch,f0,partial,partialFreq,sigma,intercept,r2
50,C8,4186.01,1,4200.32,3.22555,-5.37805,0.999385
50,C8,4186.01,2,8746.52,33.691,-6.7709,0.99892
50,E4,329.628,1,329.727,0.508273,4.39739,0.963151
50,E4,329.628,2,659.454,0.400009,2.4866,0.728562
50,E4,329.628,4,1322.95,0.324406,0.394768,0.659068
50,E4,329.628,5,1658.06,0.435174,0.885633,0.866567
50,E4,329.628,6,1994.51,0.5127,0.0724465,0.827822
50,E4,329.628,7,2335.01,0.627756,-1.21027,0.955291
50,E4,329.628,8,2678.19,0.803036,-1.59679,0.966823
50,E4,329.628,10,3026.76,1.58312,-3.36267,0.807923
50,D1,36.7081,1,36.3373,0.167689,1.09065,0.80862
50,D1,36.7081,2,72.6746,0.171335,4.54505,0.84856
50,D1,36.7081,3,109.012,0.133727,4.30222,0.611427
50,D1,36.7081,4,146.695,0.142966,4.45767,0.758983
50,D1,36.7081,6,219.37,0.144418,2.56441,0.623898
50,D1,36.7081,7,255.707,0.152487,4.30973,0.801521
50,D1,36.7081,8,293.39,0.182726,0.960847,0.928405
50,D1,36.7081,10,366.064,0.154643,3.2012,0.76722
50,D1,36.7081,11,403.748,0.152773,3.05296,0.617098
50,D1,36.7081,12,440.085,0.174828,2.24184,0.66324
50,D1,36.7081,13,477.768,0.220776,3.04049,0.936252
50,D1,36.7081,14,514.105,0.165544,1.78054,0.842927
50,D1,36.7081,15,551.788,0.149263,1.02446,0.666858
50,D1,36.7081,16,589.471,0.163877,0.62557,0.757906
50,D1,36.7081,17,627.155,0.224339,1.22114,0.92812
50,D1,36.7081,18,664.838,0.21245,1.47026,0.863645
50,D1,36.7081,19,702.521,0.194488,0.467014,0.807989
50,D1,36.7081,20,740.204,0.181677,1.6947,0.849786
50,D1,36.7081,21,777.887,0.192347,2.18515,0.836683
50,D1,36.7081,22,815.57,0.207179,2.21063,0.898215
50,D1,36.7081,23,854.599,0.2258,1.04707,0.923877
50,D1,36.7081,24,893.628,0.242918,-1.1774,0.895799
50,D1,36.7081,25,934.003,0.272781,-1.00885,0.895553
50,D1,36.7081,27,1028.21,3.46343,0.668854,0.89732
50,D1,36.7081,34,1329.68,0.383464,-1.3483,0.875661
50,D1,36.7081,35,1371.4,0.453645,-0.110139,0.984602
50,D1,36.7081,36,1413.12,0.502951,-0.43774,0.983641
50,D1,36.7081,37,1454.84,0.52498,-1.25463,0.963663
50,D1,36.7081,38,1496.56,0.500426,-0.519848,0.995774
50,D1,36.7081,39,1540.97,0.486235,-1.87644,0.826638
50,D1,36.7081,40,1581.34,0.70245,-2.27753,0.954806
50,D1,36.7081,41,1624.41,0.623248,-1.82769,0.963191
50,D1,36.7081,42,1667.48,0.60651,-2.06044,0.975294
50,D1,36.7081,43,1710.54,0.663598,-1.75088,0.992537
50,D1,36.7081,44,1753.61,0.772658,-2.00059,0.939711
50,D1,36.7081,52,2160.05,0.977222,-2.59608,0.922062
50,D1,36.7081,68,2570.53,1.29584,-2.60478,0.981246
50,D1,36.7081,69,3083.29,3.30441,-2.66098,0.882173
50,As4,466.164,1,465.656,0.323971,3.17316,0.699645
50,As4,466.164,2,934.003,0.370387,2.04396,0.58883
50,As4,466.164,3,1403.7,0.386258,1.2982,0.623179
50,As4,466.164,4,1877.43,0.517831,-0.931925,0.791692
50,As4,466.164,5,2355.19,0.734678,-1.36814,0.966138
