key,f0,g,a1,pointCount,fitError
21,27.5,0.97525,-0.0385,32,0
22,29.1352,0.97525,-0.0385,7,1.06397e-05
23,30.8677,0.98910,-0.7700,7,0.00453213
24,32.7032,0.98705,-0.0660,8,4.15258e-06
25,34.6478,0.98950,-0.0010,8,1.78473e-06
26,36.7081,0.98950,-0.3350,9,5.82068e-05
27,38.8909,0.99070,-0.0010,9,1.81927e-07
28,41.2034,0.99320,-0.1210,10,1.3788e-05
29,43.6535,0.99160,-0.6140,10,0.00141459
30,46.2493,0.98860,-0.2330,11,6.73411e-05
31,48.9994,0.98655,-0.4990,12,0.0160214
32,51.9131,0.98815,-0.4725,12,0.0023926
33,55,0.98675,-0.4535,13,0.00954819
34,58.2705,0.98255,-0.3780,14,0.0101003
35,61.7354,0.97695,-0.4025,15,0.00907986
36,65.4064,0.97980,-0.4180,16,0.0278129
37,69.2957,0.98320,-0.3075,17,0.00133714
38,73.4162,0.97710,-0.2715,18,0.0404749
39,77.7817,0.98170,-0.3920,19,0.0460234
40,82.4069,0.98355,-0.3470,20,0.0299699
41,87.3071,0.97945,-0.2055,21,0.0334269
42,92.4986,0.98390,-0.2460,22,0.0515825
43,97.9989,0.98555,-0.2315,24,0.0314892
44,103.826,0.98350,-0.1860,25,0.0374384
45,110,0.98185,-0.1270,27,0.0370951
46,116.541,0.98590,-0.1000,28,0.181148
47,123.471,0.98535,-0.0950,30,0.194275
48,130.813,0.98690,-0.0900,32,0.132222
49,138.591,0.98580,-0.0850,34,0.22434
50,146.832,0.98370,-0.0800,36,0.239153
51,155.563,0.98460,-0.0700,38,0.289205
52,164.814,0.98475,-0.0650,40,0.309156
53,174.614,0.98460,-0.0600,43,0.269673
54,184.997,0.98520,-0.0550,45,0.227716
55,195.998,0.98635,-0.0500,48,0.22013
56,207.652,0.98595,-0.0450,51,0.285515
57,220,0.98570,-0.0400,54,0.210132
58,233.082,0.98625,-0.0350,57,0.224629
59,246.942,0.98705,-0.0300,61,0.201103
60,261.626,0.98595,-0.0250,64,0.398345
61,277.183,0.98535,-0.0220,68,0.540489
62,293.665,0.98560,-0.0200,72,0.286709
63,311.127,0.98630,-0.0180,70,0.264179
64,329.628,0.98600,-0.0160,66,0.396443
65,349.228,0.98630,-0.0140,63,0.259336
66,369.994,0.98695,-0.0120,59,0.363782
67,391.995,0.98835,-0.0100,56,0.412597
68,415.305,0.98910,-0.0080,53,0.346043
69,440,0.98865,-0.0060,50,0.405333
70,466.164,0.99160,-0.0040,47,0.104024
71,493.883,0.99145,0.0,44,0.152365
72,523.251,0.99225,0.0,42,0.23433
73,554.365,0.99075,0.0,39,0.432154
74,587.33,0.99270,0.0,37,0.157086
75,622.254,0.99255,0.0,35,0.182014
76,659.255,0.99435,0.0,33,0.177772
77,698.456,0.99380,0.0,31,0.307174
78,739.989,0.99390,0.0,29,0.571338
79,783.991,0.99375,0.0,28,0.326546
80,830.609,0.99575,0.0,26,0.345785
81,880,0.99475,0.0,25,0.302431
82,932.328,0.99505,0.0,23,0.747694
83,987.767,0.99455,0.0,22,0.279956
84,1046.5,0.99615,0.0,21,0.540942
85,1108.73,0.99385,0.0,19,1.37076
86,1174.66,0.99385,0.0,18,0.378215
87,1244.51,0.99415,0.0,17,0.818941
88,1318.51,0.99405,0.0,16,1.42418
89,1396.91,0.99455,0.0,15,1.41628
90,1479.98,0.99520,0.0,14,0.776016
91,1567.98,0.99485,0.0,14,0.998613
92,1661.22,0.99425,0.0,13,0.857939
93,1760,0.99470,0.0,12,1.14
94,1864.66,0.99625,0.0,11,1.7007
95,1975.53,0.99585,0.0,11,1.63252
96,2093,0.99590,0.0,10,4.999
97,2217.46,0.99690,0.0,9,4.36403
98,2349.32,0.99705,0.0,9,6.01067
99,2489.02,0.99820,0.0,8,1.46651
100,2637.02,0.99820,0.0,8,4.44821
101,2793.83,0.99755,0.0,7,2.63814
102,2959.96,0.99890,0.0,7,7.40695
103,3135.96,0.99945,0.0,7,8.68929
104,3322.44,0.99825,0.0,6,3.70518
105,3520,0.99820,0.0,6,4.47603
106,3729.31,0.99695,0.0,5,2.58531
107,3951.07,0.99880,0.0,5,6.89761
108,4186.01,0.99880,0.0,5,0
