time,force
1.01592,1.58257e-14
1.01594,5.34295e-13
1.01596,4.76445e-12
1.01599,2.38636e-11
1.01601,8.5372e-11
1.01603,2.44751e-10
1.01605,5.99907e-10
1.01608,1.30859e-09
1.0161,2.60858e-09
1.01612,4.84049e-09
1.01615,8.47322e-09
1.01617,1.41318e-08
1.01619,2.26277e-08
1.01621,3.49912e-08
1.01624,5.25065e-08
1.01626,7.67484e-08
1.01628,1.09621e-07
1.0163,1.53399e-07
1.01633,2.10771e-07
1.01635,2.84882e-07
1.01637,3.79382e-07
1.01639,4.98474e-07
1.01642,6.46963e-07
1.01644,8.30307e-07
1.01646,1.05467e-06
1.01649,1.32697e-06
1.01651,1.65496e-06
1.01653,2.04725e-06
1.01655,2.51338e-06
1.01658,3.06389e-06
1.0166,3.71036e-06
1.01662,4.46551e-06
1.01664,5.3432e-06
1.01667,6.35856e-06
1.01669,7.52801e-06
1.01671,8.86935e-06
1.01673,1.04018e-05
1.01676,1.21462e-05
1.01678,1.41247e-05
1.0168,1.63614e-05
1.01683,1.88819e-05
1.01685,2.17138e-05
1.01687,2.48862e-05
1.01689,2.84306e-05
1.01692,3.23802e-05
1.01694,3.67704e-05
1.01696,4.16385e-05
1.01698,4.70245e-05
1.01701,5.29703e-05
1.01703,5.95204e-05
1.01705,6.67216e-05
1.01707,7.46235e-05
1.0171,8.3278e-05
1.01712,9.274e-05
1.01714,0.000103067
1.01717,0.000114319
1.01719,0.00012656
1.01721,0.000139856
1.01723,0.000154276
1.01726,0.000169894
1.01728,0.000186784
1.0173,0.000205027
1.01732,0.000224704
1.01735,0.000245903
1.01737,0.000268712
1.01739,0.000293225
1.01741,0.00031954
1.01744,0.000347758
1.01746,0.000377983
1.01748,0.000410324
1.01751,0.000444895
1.01753,0.000481813
1.01755,0.000521199
1.01757,0.00056318
1.0176,0.000607885
1.01762,0.00065545
1.01764,0.000706014
1.01766,0.000759721
1.01769,0.000816721
1.01771,0.000877167
1.01773,0.000941218
1.01776,0.00100904
1.01778,0.0010808
1.0178,0.00115667
1.01782,0.00123683
1.01785,0.00132147
1.01787,0.00141078
1.01789,0.00150495
1.01791,0.00160418
1.01794,0.00170869
1.01796,0.00181868
1.01798,0.00193438
1.018,0.00205601
1.01803,0.00218381
1.01805,0.002318
1.01807,0.00245884
1.0181,0.00260657
1.01812,0.00276145
1.01814,0.00292374
1.01816,0.00309372
1.01819,0.00327166
1.01821,0.00345784
1.01823,0.00365256
1.01825,0.00385611
1.01828,0.0040688
1.0183,0.00429094
1.01832,0.00452285
1.01834,0.00476484
1.01837,0.00501727
1.01839,0.00528047
1.01841,0.00555479
1.01844,0.00584058
1.01846,0.00613821
1.01848,0.00644805
1.0185,0.00677049
1.01853,0.00710591
1.01855,0.00745471
1.01857,0.00781729
1.01859,0.00819407
1.01862,0.00858547
1.01864,0.00899193
1.01866,0.00941386
1.01868,0.00985174
1.01871,0.010306
1.01873,0.0107771
1.01875,0.0112656
1.01878,0.0117719
1.0188,0.0122965
1.01882,0.0128399
1.01884,0.0134026
1.01887,0.0139852
1.01889,0.0145881
1.01891,0.015212
1.01893,0.0158573
1.01896,0.0165247
1.01898,0.0172147
1.019,0.0179278
1.01902,0.0186647
1.01905,0.0194259
1.01907,0.0202122
1.01909,0.021024
1.01912,0.0218621
1.01914,0.022727
1.01916,0.0236194
1.01918,0.0245401
1.01921,0.0254896
1.01923,0.0264686
1.01925,0.0274778
1.01927,0.0285181
1.0193,0.0295899
1.01932,0.0306942
1.01934,0.0318316
1.01937,0.0330029
1.01939,0.0342088
1.01941,0.0354502
1.01943,0.0367277
1.01946,0.0380423
1.01948,0.0393947
