key,note_index,hammer_mass_kg,K,P,RH
21,1,0.011137652,49613172.6417,2.32953995,228001.130305
22,2,0.011075304,56065280.5889,2.3225658,233009.699613
23,3,0.011012956,63356474.1005,2.31607755,238128.293669
24,4,0.010950608,71595874.8137,2.3100752,243359.329416
25,5,0.01088826,80906795.4479,2.30455875,248705.276898
26,6,0.010825912,91428585.3294,2.2995282,254168.660413
27,7,0.010763564,103318715.926,2.29498355,259752.059716
28,8,0.010701216,116755137.598,2.2909248,265458.111226
29,9,0.010638868,131938942.847,2.28735195,271289.509285
30,10,0.01057652,149097375.908,2.284265,277249.007417
31,11,0.010514172,168487233.737,2.28166395,283339.419633
32,12,0.010451824,190398709.298,2.2795488,289563.621765
33,13,0.010389476,215159734.646,2.27791955,295924.552813
34,14,0.010327128,243140888.842,2.2767762,302425.216345
35,15,0.01026478,274760944.115,2.27611875,309068.681905
36,16,0.010202432,310493133.304,2.2759472,315858.086468
37,17,0.010140084,350872232.367,2.27626155,322796.63592
38,18,0.010077736,396502563.958,2.2770618,329887.606572
39,19,0.010015388,448067041.854,2.27834795,337134.346707
40,20,0.00995304,506337391.596,2.28012,344540.278158
41,21,0.009890692,572185700.308,2.28237795,352108.89793
42,22,0.009828344,646597468.547,2.2851218,359843.779845
43,23,0.009765996,730686359.528,2.28835155,367748.576235
44,24,0.009703648,825710866.452,2.2920672,375827.019661
45,25,0.0096413,933093147.404,2.29626875,384082.92468
46,26,0.009578952,1054440309.69,2.3009562,392520.189646
47,27,0.009516604,1191568462.15,2.30612955,401142.798544
48,28,0.009454256,1346529895.47,2.3117888,409954.82288
49,29,0.009391908,1521643797.22,2.31793395,418960.423601
50,30,0.00932956,1719530961.34,2.324565,428163.853061
51,31,0.009267212,1943153011.5,2.33168195,437569.457018
52,32,0.009204864,2195856725.47,2.3392848,447181.676704
53,33,0.009142516,2481424123.7,2.34737355,457005.050905
54,34,0.009080168,2804129071.93,2.3559482,467044.218118
55,35,0.00901782,3168801244.8,2.36500875,477303.918733
56,36,0.008955472,3580898407.83,2.3745552,487788.997272
57,37,0.008893124,4046588099.61,2.38458755,498504.404681
58,38,0.008830776,4572839936.49,2.3951058,509455.200662
59,39,0.008768428,5167529921.53,2.40610995,520646.556069
60,40,0.00870608,5839558318.4,2.4176,532083.75534
61,41,0.008643732,6598982854.83,2.42957595,543772.199003
62,42,0.008581384,7457169248.77,2.4420378,555717.406219
63,43,0.008519036,8426961310.27,2.45498555,567925.017389
64,44,0.008456688,9522873164.84,2.4684192,580400.79682
65,45,0.00839434,10761306475.1,2.48233875,593150.635445
66,46,0.008331992,12160795911.8,2.4967442,606180.553607
67,47,0.008269644,13742286547.6,2.51163555,619496.703891
68,48,0.008207296,15529447326.2,2.5270128,633105.374049
69,49,0.008144948,17549025296.6,2.54287595,647012.989952
70,50,0.0080826,19831245915.7,2.559225,661226.11863
71,51,0.008020252,22410265409.2,2.57605995,675751.471375
72,52,0.007957904,25324681961.2,2.5933808,690595.906906
73,53,0.007895556,28618113383.6,2.61118755,705766.434611
74,54,0.007833208,32339849909.7,2.6294802,721270.217854
75,55,0.00777086,36545591883.1,2.64825875,737114.57736
76,56,0.007708512,41298283381.6,2.6675232,753306.994672
77,57,0.007646164,46669054252,2.68727355,769855.115677
78,58,0.007583816,52738284655.8,2.7075098,786766.754225
79,59,0.007521468,59596808056.6,2.72823195,804049.895818
80,60,0.00745912,67347270653.9,2.74944,821712.701374
81,61,0.007396772,76105667609.2,2.77113395,839763.511083
82,62,0.007334424,86003079055.9,2.7933138,858210.848351
83,63,0.007272076,97187631873.6,2.81597955,877063.423818
84,64,0.007209728,109826716588,2.8391312,896330.139469
85,65,0.00714738,124109492577,2.86276875,916020.092857
86,66,0.007085032,140249719068,2.8868922,936142.581359
87,67,0.007022684,158488954311,2.91150155,956707.106607
88,68,0.006960336,179100170793,2.9365968,977723.378964
89,69,0.006897988,202391840602,2.96217795,999201.322088
90,70,0.00683564,228712552091,2.988245,1021151.07763
91,71,0.006773292,258456226934,3.01479795,1043583.01006
92,72,0.006710944,292068015639,3.0418368,1066507.71147
93,73,0.006648596,330050959775,3.06936155,1089936.0067
94,74,0.006586248,372973520602,3.0973722,1113878.95831
95,75,0.0065239,421478086794,3.12586875,1138347.87194
96,76,0.006461552,476290588567,3.1548512,1163354.30154
97,77,0.006399204,538231362116,3.18431955,1188910.05489
98,78,0.006336856,608227426952,3.2142738,1215027.19915
99,79,0.006274508,687326359881,3.24471395,1241718.06657
100,80,0.00621216,776711973273,3.27564,1268995.26028
101,81,0.006149812,877722032268,3.30705195,1296871.6603
102,82,0.006087464,991868276064,3.3389498,1325360.42957
103,83,0.006025116,1.12085904295e+12,3.37133355,1354475.0202
104,84,0.005962768,1.26662483767e+12,3.4042032,1384229.17978
105,85,0.00590042,1.4313472238e+12,3.43755875,1414636.95791
106,86,0.005838072,1.61749147353e+12,3.4714002,1445712.71285
107,87,0.005775724,1.82784346344e+12,3.50572755,1477471.11823
108,88,0.005713376,2.06555136859e+12,3.5405408,1509927.17004
