key,note,source,f0_hz,length_m,diameter_m,volume_density_kg_m3,linear_density_kg_m,tension_n,strike_position_m,strike_ratio
21,A0,extrapolated_edge,27.5625,2.0995815139,0.00161849285073,73687.7394626,0.15160261267,1990.20238095,0.251071033052,0.119581464873
22,Ad0,extrapolated_edge,29.2014515383,2.07407244283,0.00158999491734,67571.507969,0.134166769997,1940.19047619,0.248020620966,0.119581464873
23,B0,extrapolated_edge,30.9378602065,2.04887329672,0.00156199876696,61962.9360666,0.118736226602,1890.17857143,0.245007270161,0.119581464873
24,C1,rt425_wrapped,32.78,2.007,0.00148,57787,0.0994130643549,1722,0.24,0.119581464873
25,Cd1,rt425_wrapped,34.73,1.997,0.001505,52229,0.0929125954454,1788,0.238,0.119178768152
26,D1,rt425_wrapped,36.79,1.981,0.001506,47494,0.0846015993058,1798,0.236,0.119131751641
27,Dd1,rt425_wrapped,38.98,1.965,0.001492,43195,0.0755198304024,1773,0.241,0.122646310433
28,E1,rt425_wrapped,41.3,1.938,0.00146,39737,0.0665258863112,1703,0.233,0.120227038184
29,F1,rt425_wrapped,43.75,1.911,0.001419,36571,0.0578351023069,1618,0.229,0.119832548404
30,Fd1,rt425_wrapped,46.35,1.879,0.00137,33851,0.0499002266798,1515,0.225,0.119744544971
31,G1,rt425_wrapped,49.11,1.842,0.001316,31521,0.0428747545595,1404,0.221,0.119978284473
32,Ab1,rt425_wrapped,52.03,1.805,0.001262,29376,0.0367452537407,1297,0.217,0.120221606648
33,A1,rt425_wrapped,55.13,1.762,0.001207,27588,0.0315663697206,1190,0.211,0.119750283768
34,Ad1,rt425_wrapped,58.4,1.709,0.001148,26243,0.0271635881991,1083,0.205,0.119953188999
35,B1,rt425_wrapped,61.88,1.655,0.001096,25043,0.0236263886182,991,0.199,0.120241691843
36,C2,rt425_wrapped,65.56,1.602,0.001051,23919,0.0207509666412,915,0.186,0.116104868914
37,Cd2,rt425_wrapped,69.45,1.548,0.001012,22925,0.0184399717218,853,0.179,0.115633074935
38,D2,rt425_wrapped,73.58,1.495,0.000982,21997,0.0166600504325,807,0.173,0.115719063545
39,Dd2,rt425_wrapped,77.96,1.442,0.00096,21160,0.0153160935667,774,0.192,0.133148404993
40,E2,rt425_wrapped,82.59,1.378,0.000937,20738,0.0142999965696,741,0.165,0.119738751814
41,F2,rt425_wrapped,87.51,1.837,0.001117,7887,0.00772872880338,799,0.22,0.119760479042
42,Fd2,rt425_wrapped,92.71,1.757,0.001108,7734,0.00745716186342,791,0.199,0.113261240751
43,G2,rt425_wrapped,98.22,1.66,0.001091,7772,0.00726561154203,773,0.191,0.115060240964
44,Ab2,rt425_wrapped,104.06,1.591,0.001095,7589,0.00714665261743,783,0.178,0.111879321182
45,A2,rt425_wrapped,110.25,1.482,0.001071,7850,0.00707193857372,754,0.211,0.142375168691
46,Ad2,rt425_wrapped,116.81,1.403,0.001067,7850,0.00701921228174,754,0.168,0.119743406985
47,B2,rt425_wrapped,123.75,1.329,0.001065,7850,0.00699292312025,756,0.16,0.120391271633
