schema_version,source_dataset,velocity,analysis_window,window_start_s,window_end_s,partial_index,pitch_lo_midi,pitch_hi_midi,f0_lo_hz,f0_hi_hz,db_c0,db_c1,db_c2,db_c3,energy_rel_fund_db_lo,energy_rel_fund_db_hi,energy_ratio_to_fund_lo,energy_ratio_to_fund_hi,amplitude_ratio_to_fund_lo,amplitude_ratio_to_fund_hi,source_observation_count,max_support_distance_semitones,anchor_status,smoothing_lambda,partial_cv_rmse_db,slice_cv_weighted_rmse_db,interpolation_status
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,21,22,27.5,29.1352350948806,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,22,23,29.1352350948806,30.8677063285078,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,23,24,30.8677063285078,32.7031956625748,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,24,25,32.7031956625748,34.647828872109,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,25,26,34.647828872109,36.7080959896759,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,26,27,36.7080959896759,38.8908729652601,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,27,28,38.8908729652601,41.2034446141087,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,28,29,41.2034446141087,43.6535289291255,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,29,30,43.6535289291255,46.2493028389543,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,30,31,46.2493028389543,48.9994294977187,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,31,32,48.9994294977187,51.9130871974931,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,32,33,51.9130871974931,55,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,33,34,55,58.2704701897612,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,34,35,58.2704701897612,61.7354126570155,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,35,36,61.7354126570155,65.4063913251497,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,36,37,65.4063913251497,69.295657744218,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,37,38,69.295657744218,73.4161919793519,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,38,39,73.4161919793519,77.7817459305202,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,39,40,77.7817459305202,82.4068892282175,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,40,41,82.4068892282175,87.307057858251,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,41,42,87.307057858251,92.4986056779086,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,42,43,92.4986056779086,97.9988589954373,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,43,44,97.9988589954373,103.826174394986,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,44,45,103.826174394986,110,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,45,46,110,116.540940379522,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,46,47,116.540940379522,123.470825314031,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,47,48,123.470825314031,130.812782650299,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,48,49,130.812782650299,138.591315488436,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,49,50,138.591315488436,146.832383958704,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,50,51,146.832383958704,155.56349186104,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,51,52,155.56349186104,164.813778456435,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,52,53,164.813778456435,174.614115716502,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,53,54,174.614115716502,184.997211355817,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,54,55,184.997211355817,195.997717990875,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,55,56,195.997717990875,207.652348789973,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
