key,f0,a1,order,usedPartialCount,error
21,27.5,0.998,20,217,0.00506747
22,29.1352,0.9979,20,206,0.00517936
23,30.8677,0.9979,20,196,0.00530202
24,32.7032,0.9978,20,187,0.005439
25,34.6478,0.9977,20,178,0.00556845
26,36.7081,0.9977,20,167,0.00563245
27,38.8909,0.9976,20,160,0.00579488
28,41.2034,0.9975,20,151,0.00588766
29,43.6535,0.9975,20,142,0.00596248
30,46.2493,0.9974,20,133,0.00601557
31,48.9994,0.9973,20,126,0.0061262
32,51.9131,0.9972,20,120,0.00626556
33,55,0.9964,16,113,0.00634478
34,58.2705,0.9963,16,109,0.00655705
35,61.7354,0.9962,16,104,0.00671194
36,65.4064,0.9961,16,97,0.00673559
37,69.2957,0.996,16,93,0.00692024
38,73.4162,0.9959,16,88,0.00702736
39,77.7817,0.9958,16,83,0.00711368
40,82.4069,0.9956,16,79,0.00725643
41,87.3071,0.9955,16,75,0.0073829
42,92.4986,0.9954,16,71,0.0074903
43,97.9989,0.9953,16,66,0.00747269
44,103.826,0.9951,16,64,0.00774165
45,110,0.995,16,60,0.00777658
46,116.541,0.9948,16,57,0.00790284
47,123.471,0.9947,16,54,0.00800739
48,130.813,0.9945,16,51,0.00808702
49,138.591,0.9944,16,48,0.0081367
50,146.832,0.9942,16,46,0.00832263
51,155.563,0.9882,8,43,0.00831204
52,164.814,0.9879,8,41,0.00845407
53,174.614,0.9875,8,39,0.00857511
54,184.997,0.9872,8,37,0.00867161
55,195.998,0.9868,8,35,0.00873995
56,207.652,0.9865,8,33,0.00877551
57,220,0.9862,8,31,0.00877364
58,233.082,0.9858,8,29,0.00872864
59,246.942,0.9854,8,28,0.00895579
60,261.626,0.9851,8,26,0.00883117
61,277.183,0.9846,8,25,0.00901338
62,293.665,0.9842,8,24,0.00917823
63,311.127,0.9839,8,22,0.00890965
64,329.628,0.9835,8,21,0.00900749
65,349.228,0.983,8,20,0.00907813
66,369.994,0.9826,8,19,0.00911815
67,391.995,0.9821,8,18,0.00912397
68,415.305,0.9817,8,17,0.0090915
69,440,0.9813,8,16,0.0090166
70,466.164,0.9809,8,15,0.00889447
71,493.883,0.9805,8,14,0.00871986
72,523.251,0.9797,8,14,0.00920548
73,554.365,0.9793,8,13,0.00895943
74,587.33,0.979,8,12,0.00864691
75,622.254,0.9568,4,12,0.00910136
76,659.255,0.9562,4,11,0.00869836
77,698.456,0.9557,4,10,0.00821097
78,739.989,0.954,4,10,0.00862183
79,783.991,0.9536,4,9,0.00802104
80,830.609,0.9519,4,9,0.00839901
81,880,0.9517,4,8,0.00767112
82,932.328,0.9499,4,8,0.00801244
83,987.767,0.9499,4,7,0.00714165
84,1046.5,0.9481,4,7,0.00744477
85,1108.73,0.9462,4,7,0.00771704
86,1174.66,0.9465,4,6,0.00667732
87,1244.51,0.9446,4,6,0.00691289
88,1318.51,0.9427,4,6,0.00710639
89,1396.91,0.9435,4,5,0.00589176
90,1479.98,0.9416,4,5,0.00605952
91,1567.98,0.9396,4,5,0.00617963
92,1661.22,0.9377,4,5,0.00623666
93,1760,0.9392,4,4,0.0048882
94,1864.66,0.9372,4,4,0.0049563
95,1975.53,0.9353,4,4,0.00496707
96,2093,0.8711,2,4,0.00491751
97,2217.46,0.8757,2,3,0.00346136
98,2349.32,0.8721,2,3,0.00346663
99,2489.02,0.8686,2,3,0.00342195
100,2637.02,0.8653,2,3,0.00331627
101,2793.83,0.8621,2,3,0.00313854
102,2959.96,0.8594,2,3,0.00288012
103,3135.96,0.866,2,2,0.00169189
104,3322.44,0.8628,2,2,0.00162866
105,3520,0.8598,2,2,0.00152769
106,3729.31,0.857,2,2,0.00138357
107,3951.07,0.8547,2,2,0.0011925
108,4186.01,0.8528,2,2,0.00095457
