partial,f,sigma,count,meanR2,meanFittedFrameCount
1,465.656,0.504235,5,0.807009,825.8
2,934.003,0.424534,5,0.710167,850.4
3,1403.7,0.399494,5,0.672679,849.6
4,1877.43,0.508748,5,0.929298,848.6
5,2356.54,0.550572,5,0.85999,845.4
6,2841.04,0.628974,5,0.89055,814
8,3332.26,1.03737,5,0.956954,606.6
9,3935.46,1.61741,5,0.914057,361.4
10,5186,3.64653,5,0.87842,181.8
11,5396.76,5.82173,1,0.922669,203
13,5945.18,5.53385,4,0.900371,160.25
14,6507.06,6.90484,3,0.896938,133.667
15,7081.73,8.89306,2,0.924142,118.5
17,8278.17,8.49952,2,0.804063,128.5
19,8901.29,7.28029,2,0.805226,150
20,9544.59,14.6522,1,0.956292,77
21,10204,9.93236,1,0.830492,104
22,11583.5,8.76185,1,0.769788,106
