partial,f,sigma,count,meanR2,meanFittedFrameCount
1,246.286,0.264641,5,0.819534,1232.8
2,493.918,0.386762,5,0.897452,1134.6
3,741.55,0.33149,1,0.733428,1209
4,989.182,0.336935,5,0.856848,1161.8
5,1238.16,0.30315,4,0.907764,1191.5
6,1488.48,0.327407,5,0.890663,1150.8
7,1740.15,0.407489,5,0.824791,982.2
12,2976.16,0.612301,5,0.966948,1002
13,3028.11,0.577978,1,0.951936,943
14,3294.58,0.586864,5,0.932932,939.6
15,3562.4,0.676604,5,0.9263,830.4
16,3832.91,0.894134,5,0.896196,612.2
17,4614.57,1.23174,5,0.853852,418.4
18,5243.33,1.83198,5,0.901449,367
23,5538.07,2.39837,4,0.891706,290.25
24,6447.85,2.72168,4,0.83785,309.25
27,7080.39,5.16437,2,0.8617,137
29,8757.28,7.00788,2,0.848544,162.5
33,9109.89,6.861,1,0.876522,161
34,9466.53,4.19161,1,0.734797,217
35,11356.1,3.32251,1,0.619486,221
