partial,f,sigma,count,meanR2,meanFittedFrameCount
1,130.545,0.239378,5,0.811165,1264.2
2,261.09,0.354241,5,0.938591,1183.8
3,391.635,0.417612,5,0.955476,1136.6
4,523.526,0.280804,5,0.89832,1261.4
5,654.071,0.269146,5,0.917717,1265
6,785.962,0.227837,5,0.86395,1266.2
7,917.853,0.25726,3,0.714844,1262.33
8,1049.74,0.294195,5,0.897555,1194
9,1181.63,0.320511,5,0.791359,1140
10,1314.87,0.2052,5,0.657239,1261.8
11,1448.11,0.683211,5,0.868056,746
12,1585.38,0.232599,5,0.752891,1264.6
21,2894.87,3.11287,2,0.990943,175.5
22,3097.01,0.401074,5,0.914884,1284.2
26,3356.49,0.5014,5,0.869278,1151.6
27,4172.51,0.586702,3,0.908265,958
29,3971.53,0.576019,2,0.836116,769
32,4273,0.657087,3,0.789246,740.333
34,5369.84,1.30706,5,0.889679,527.2
41,5532.69,1.35839,5,0.886494,520.4
42,6029.3,1.49433,4,0.824961,586.25
45,6311.47,2.21187,3,0.826926,300.333
46,6369.79,1.64337,1,0.889422,324
47,7986.13,2.69766,3,0.825643,280.667
55,8174.54,4.15597,2,0.879078,201
56,8748.54,3.85657,2,0.83064,263
58,9151.61,6.33626,1,0.843749,136
59,9151.61,2.99336,1,0.754898,314
60,9450.38,4.16103,2,0.826656,264
61,9552.67,2.69551,1,0.757681,317
62,10175.8,4.3728,1,0.795682,237
65,10820.4,3.18881,1,0.713039,268
67,11708.7,1.85625,1,0.618746,352
71,11936.1,1.18192,1,0.541656,452
