partial,f,sigma,count,meanR2,meanFittedFrameCount
1,277.24,0.650004,5,0.965775,748
2,554.48,0.454261,5,0.934773,830
3,831.72,0.395253,5,0.776196,831.2
4,1111.65,0.540891,5,0.855704,780.4
5,1391.58,0.450507,5,0.904451,816.8
6,1672.86,0.474307,5,0.913499,765.8
7,1956.83,0.513041,5,0.81229,680
8,2243.49,0.530564,5,0.785782,743
11,3116.93,0.63038,5,0.904528,841.4
13,3415.44,0.682257,5,0.878362,821.8
14,4086.19,0.974296,5,0.919616,559.4
15,4178.11,1.23235,2,0.807102,431.5
16,4332.21,1.25751,1,0.765942,333
18,5289.09,1.95829,5,0.919774,421.6
21,5953.93,3.28895,4,0.892413,214
23,6297.12,3.66357,3,0.879172,207.667
24,7352.24,5.63975,3,0.86636,160
27,8860.91,6.78522,2,0.814821,177.5
31,10068.1,7.92119,1,0.848157,138
34,10485.3,5.66288,1,0.727664,164
