partial,f,sigma,count,meanR2,meanFittedFrameCount
1,293.39,0.430389,5,0.723003,832.4
2,586.78,0.404619,5,0.898164,832.6
3,881.516,0.458503,5,0.780555,788.8
4,1177.6,1.31377,1,0.968133,391
5,1475.02,0.454109,5,0.865724,825.4
6,1773.8,0.466239,5,0.871213,756
7,2075.26,0.43898,5,0.85034,806
8,2379.42,0.508209,5,0.732765,682.2
9,2687.61,0.462965,4,0.86946,744.75
10,3310.73,0.698709,5,0.905586,822.8
13,3628.08,0.751962,5,0.864414,673.6
14,3950,1.08913,5,0.929824,519.6
15,4277.84,1.15201,5,0.888137,467.2
17,5988.92,2.83965,4,0.903807,216
22,6719.71,4.51383,3,0.880236,157
24,7474.71,6.1497,3,0.902612,158
26,7863.66,7.02163,2,0.89894,134
27,9496.14,11.0945,1,0.946867,102
