partial,f,sigma,count,meanR2,meanFittedFrameCount
1,82.0953,0.215826,5,0.877879,1690.2
2,164.191,0.392876,5,0.923702,1449.2
3,246.286,0.411734,5,0.955826,1259.4
4,329.727,0.245714,5,0.820855,1637.8
5,411.823,0.189878,5,0.758683,1690.2
6,493.918,0.370993,5,0.888106,1413.8
7,577.359,0.239394,5,0.861026,1654.8
8,659.454,0.252427,5,0.880999,1569.6
9,742.896,0.269856,4,0.765078,1515
10,824.991,0.19828,3,0.67379,1693.67
11,908.432,0.283616,5,0.828047,1352.2
12,991.873,0.236449,3,0.744961,1453.67
13,1075.31,0.185284,3,0.637267,1626.33
14,1158.76,0.285971,5,0.810318,1375.6
15,1243.54,0.187161,4,0.753741,1656.75
16,1326.98,0.648222,4,0.854233,617.25
17,1411.77,0.191698,5,0.787141,1697.2
18,1496.56,0.189751,5,0.763667,1693.8
19,1581.34,0.217388,5,0.747005,1617.2
20,1668.82,0.590481,4,0.941513,791.75
21,1756.3,0.556316,1,0.793058,706
27,2317.51,4.29754,3,0.973917,137
28,2402.3,3.76811,1,0.993324,137
35,2627.05,0.460067,5,0.919581,941.4
36,2717.22,0.507464,5,0.912957,940.2
37,3419.74,1.66129,5,0.934881,492.4
45,3929.81,1.22425,4,0.911808,584.5
51,4126.3,1.26943,4,0.883592,616
53,4562.35,1.85358,4,0.886455,574.75
57,5409.77,2.05126,3,0.907975,355.333
60,4935.14,2.14023,1,0.907875,518
61,5699.57,3.15764,1,0.903256,365
68,5903.24,2.32295,3,0.807932,458.667
70,6839.48,5.01458,2,0.920036,204.5
78,8025.83,3.3247,2,0.837487,255.5
79,9119.31,2.19219,1,0.655536,407
95,9245.82,1.1328,1,0.530171,530
96,10084.3,2.43757,1,0.640078,317
