partial,f,sigma,count,meanR2,meanFittedFrameCount
1,43.0664,0.238429,4,0.890067,1706.25
2,87.4786,0.219172,5,0.916533,1698.6
3,130.545,0.206197,4,0.885761,1696.75
4,173.611,0.249399,5,0.934941,1697
5,218.024,0.236579,3,0.938315,1698
6,261.09,0.226117,4,0.843034,1695.5
7,305.502,0.196741,5,0.903545,1694.8
8,348.569,0.185868,5,0.823654,1699.8
9,392.981,0.202429,5,0.807691,1666.6
10,436.047,0.188922,5,0.749693,1698.6
11,480.46,0.213418,5,0.827415,1656
12,523.526,0.191771,5,0.754703,1696.6
13,567.938,0.230995,5,0.735181,1562.4
14,612.35,0.190112,3,0.704396,1692
15,656.763,0.169664,4,0.710756,1689.5
16,701.175,0.131207,1,0.613338,1701
17,745.587,0.237361,5,0.817188,1576.8
18,790.269,0.172294,5,0.739291,1699.6
19,835.757,0.156814,5,0.71473,1699.6
20,880.708,0.207201,5,0.853087,1695.8
21,925.928,0.164949,5,0.707289,1694.8
22,971.686,0.180206,5,0.774257,1692.4
23,1018.79,0.246151,5,0.801841,1542.2
24,1065.89,0.240502,3,0.798473,1444.33
25,1135.88,2.03624,4,0.978679,270.25
26,1180.29,1.84909,3,0.948933,307.667
27,1224.7,2.00788,3,0.95043,251.333
28,1261.85,2.34448,5,0.849299,184.8
29,1313.53,2.19853,3,0.973927,260
34,1580,0.427855,5,0.926255,1121.8
35,1628.72,0.442378,5,0.967572,1208.2
36,1678.24,0.45745,5,0.944243,982.4
37,1726.69,0.556723,5,0.905496,840
38,1776.49,0.500198,5,0.900336,955
39,1826.28,0.497926,5,0.942239,952.6
40,1876.35,0.523023,5,0.913215,851.4
41,1927.22,0.581819,5,0.954457,844.8
42,1977.02,0.541576,5,0.899651,876
43,2030.85,0.589323,3,0.889042,712.667
49,2395.57,0.763221,4,0.920996,608.25
50,2448.73,0.808753,4,0.94275,630.25
51,2503.23,0.959156,3,0.952393,588.333
52,2557.74,1.05398,4,0.944819,503.25
53,2613.59,1.1584,4,0.965312,469.5
54,2668.5,0.973646,5,0.903772,438.2
55,2728.66,1.0022,2,0.907214,510.5
60,3135.77,1.49436,4,0.975933,473
62,3135.77,1.69239,1,0.896124,637
70,3614.35,1.50949,5,0.920919,562
72,4390.75,2.16168,2,0.98902,353
78,4390.08,2.04166,3,0.875753,487.333
89,4966.09,3.01901,4,0.863233,365.25
