partial,f,sigma,count,meanR2,meanFittedFrameCount
1,414.514,0.566454,5,0.941248,792.2
2,831.72,0.485746,4,0.730197,763.25
3,1248.93,1.39154,3,0.771335,605
4,1670.17,0.419287,5,0.93202,808.2
5,2095.45,0.335953,5,0.716828,823
6,2523.69,0.503701,5,0.761419,717.8
7,2958.12,0.628214,5,0.953111,710.6
9,3399.55,0.922399,5,0.890346,573.6
10,3847.18,1.32261,5,0.875888,412
11,4866.77,2.82888,5,0.880688,236.4
12,5005.8,4.36632,2,0.858524,222.5
13,5241.99,4.56963,1,0.88192,260
15,5726.49,4.36926,4,0.896142,184.75
16,6223.77,3.83522,4,0.884668,241.25
17,6733.16,5.54303,4,0.869132,164.25
18,7253.1,6.53499,3,0.892533,128.667
19,8894.56,6.52241,2,0.711646,180.5
23,9470.57,11.0214,1,0.897456,103
24,10061.4,9.4228,1,0.834347,109
25,10667,2.83729,1,0.528256,226
