partial,f,sigma,r2,fittedFrameCount
1,310.886,0.594732,0.851637,819
2,621.771,1.19799,0.989238,436
3,934.003,1.29605,0.965167,407
4,1247.58,0.411218,0.815711,809
5,1563.85,0.775446,0.794478,533
6,1881.46,0.645331,0.80022,542
7,2200.42,0.567416,0.802308,656
8,2524.77,0.497994,0.606832,557
9,2850.46,0.505165,0.776226,599
11,3181.53,0.784764,0.969401,848
12,3515.3,0.814627,0.860293,664
13,3854.44,0.962846,0.914704,570
14,4902.84,1.72954,0.961021,374
18,6385.94,3.57582,0.924658,177
22,6777.58,5.55388,0.872007,166
23,7174.59,6.84333,0.932516,167
24,7991.51,6.42643,0.879665,176
26,8408.72,5.95284,0.843374,177
