partial,f,sigma,r2,fittedFrameCount
1,92.8619,0.166019,0.938277,1700
2,184.378,0.20803,0.957053,1689
3,277.24,0.136321,0.872251,1701
4,370.102,0.195051,0.897493,1694
5,461.618,0.177773,0.914506,1695
6,554.48,0.238269,0.961266,1698
8,740.204,0.132371,0.688329,1703
9,833.066,0.162287,0.692236,1702
10,927.274,0.175775,0.679178,1689
12,1114.34,0.152194,0.684881,1700
15,1396.97,0.24609,0.841832,1595
16,1491.17,0.195581,0.933231,1702
17,1586.73,0.244836,0.890043,1689
18,1682.28,0.195225,0.813371,1686
19,1777.84,0.237802,0.886387,1649
20,1874.73,0.237699,0.962552,1701
21,1972.98,0.196142,0.740157,1702
22,2071.23,0.196837,0.750015,1574
31,2660.7,0.254636,0.844784,1489
33,2760.29,0.306746,0.806287,1113
34,2861.22,0.446653,0.946144,840
35,2963.51,0.365883,0.828314,979
36,3065.79,0.46244,0.775986,1025
37,3906.93,0.968312,0.888926,1012
46,4569.08,0.929373,0.741506,942
52,5260.83,0.923443,0.710458,881
58,5377.92,0.641946,0.664045,1128
