partial,f,sigma,r2,fittedFrameCount
1,207.257,0.203248,0.910792,1269
2,414.514,0.216311,0.775806,1270
3,623.117,0.227673,0.883337,1270
4,831.72,0.266946,0.753114,1271
5,1040.32,0.25142,0.778028,1266
6,1250.27,0.223414,0.839886,1266
7,1461.57,0.271266,0.752666,1257
8,1672.86,0.324722,0.833195,901
9,1886.85,0.403693,0.965469,1167
10,2100.83,0.270511,0.773294,1262
11,2317.51,0.385813,0.961216,1149
12,2535.53,0.574028,0.966497,744
13,2756.25,0.357346,0.897943,1172
16,3201.72,0.428431,0.845462,989
18,3427.82,0.643197,0.706808,642
19,3889.43,0.749498,0.846417,591
21,4122.26,0.876284,0.675471,578
23,4360.47,1.22459,0.85847,753
24,4843.62,2.53312,0.91603,419
26,5338.89,2.85689,0.802717,319
