partial,f,sigma,r2,fittedFrameCount
1,117.087,0.167413,0.904091,1700
2,232.828,0.214421,0.975825,1697
3,349.915,0.132353,0.725113,1701
4,465.656,0.173103,0.923779,1698
5,582.742,0.155017,0.900692,1699
6,699.829,0.116974,0.817869,1705
8,934.003,0.143649,0.851796,1699
9,1051.09,0.14535,0.756502,1697
11,1289.3,0.200088,0.90986,1685
24,2995.81,0.32881,0.871291,1166
25,2744.14,0.382874,0.993944,1422
26,3123.66,0.384931,0.927666,1434
29,3250.17,0.373681,0.888038,1277
30,3508.57,0.548587,0.859702,866
32,3639.11,0.446673,0.768564,930
33,4306.64,0.701026,0.749629,611
38,4581.19,1.3512,0.798846,582
40,4719.81,0.880221,0.847408,537
41,5001.09,1.75089,0.863141,564
43,5577.1,2.34405,0.901191,450
46,5723.79,0.911861,0.687473,938
47,5873.18,1.43192,0.792352,668
