partial,f,sigma,r2,fittedFrameCount
1,65.9454,0.210985,0.952462,1693
2,130.545,0.181836,0.907256,1700
4,261.09,0.264965,0.855101,1695
5,327.036,0.18319,0.865581,1699
6,391.635,0.224723,0.909582,1698
8,523.526,0.205594,0.964623,1697
9,588.126,0.161341,0.859695,1697
11,720.016,0.183765,0.7934,1696
13,851.907,0.199951,0.733056,1701
16,1051.09,0.174528,0.769202,1691
17,1118.38,0.135926,0.783125,1699
18,1184.33,0.151136,0.725262,1698
19,1252.96,0.224085,0.832253,1690
33,2283.87,0.339096,0.850202,1139
34,2355.19,0.500724,0.889088,893
35,2426.52,0.383955,0.935071,1391
36,2497.85,0.425767,0.932532,1245
37,2570.53,0.455367,0.911472,950
43,2643.2,0.426542,0.892092,937
44,3010.61,0.559727,0.93281,934
49,3161.34,0.957579,0.842942,821
51,3236.71,0.97886,0.795758,721
52,3620.27,1.31225,0.921664,810
57,4390.08,1.90539,0.90907,586
66,5270.25,2.38901,0.88122,486
