partial,f,sigma,r2,fittedFrameCount
1,55.1788,0.177386,0.774354,1698
2,110.358,0.197572,0.892524,1700
3,164.191,0.259024,0.882058,1697
4,219.37,0.238912,0.975888,1691
5,274.548,0.273488,0.853421,1698
6,329.727,0.175558,0.784975,1695
7,384.906,0.220198,0.89435,1699
8,440.085,0.190692,0.829261,1705
9,495.264,0.172047,0.773395,1700
11,605.621,0.119704,0.67693,1702
12,660.8,0.20038,0.747421,1698
13,715.979,0.242275,0.839017,1686
14,771.158,0.196609,0.804563,1691
15,827.682,0.20527,0.900567,1701
16,882.861,0.216081,0.912311,1695
17,939.386,0.205975,0.860409,1699
18,994.565,0.255525,0.873417,1690
19,1051.09,0.23367,0.888931,1473
20,1110.31,0.278449,0.920003,1684
21,1168.18,0.244913,0.884745,1696
26,1487.14,0.746171,0.865877,624
27,1543.66,0.607581,0.89879,764
28,1598.84,0.678978,0.879831,665
29,1654.02,0.663532,0.961364,808
31,1796.68,0.484727,0.969792,1117
32,1857.24,0.509528,0.960592,1091
33,1915.11,0.504004,0.964579,1106
34,1975.67,0.448643,0.966701,1125
35,2034.89,0.559536,0.976579,932
36,2096.8,0.585962,0.996988,1001
37,2157.36,0.530837,0.946233,923
42,2519.38,0.728787,0.938522,695
43,2588.02,0.729114,0.94131,752
44,2649.93,0.776592,0.945235,632
45,2707.8,0.801889,0.955496,691
46,2771.05,0.981708,0.969553,592
53,3593.35,1.64136,0.926711,548
65,4312.02,1.88724,0.890216,531
75,4871.89,1.71173,0.886806,555
82,5026.66,1.59189,0.839204,572
83,5075.11,1.026,0.745004,788
84,6468.04,2.09899,0.771727,419
