partial,f,sigma,r2,fittedFrameCount
1,34.9915,0.187228,0.958968,1693
2,68.6371,0.168817,0.945012,1704
3,103.629,0.13602,0.908106,1705
4,137.274,0.133698,0.886745,1706
5,172.266,0.12741,0.879363,1707
6,207.257,0.0961912,0.651824,1706
7,242.249,0.125764,0.809817,1706
8,275.894,0.135106,0.891731,1708
9,310.886,0.127097,0.877694,1707
10,345.877,0.127186,0.842209,1706
11,380.869,0.139161,0.85872,1705
12,415.86,0.129817,0.828713,1703
13,450.851,0.159602,0.90157,1702
14,485.843,0.187219,0.96815,1703
15,520.834,0.183706,0.947776,1704
16,557.172,0.165329,0.921636,1705
17,592.163,0.194159,0.956433,1700
18,628.5,0.208807,0.973302,1701
19,663.492,0.219934,0.97368,1699
20,699.829,0.194616,0.922807,1557
21,736.166,0.202114,0.962023,1698
22,772.504,0.204274,0.959588,1698
23,808.841,0.226149,0.97942,1698
24,845.178,0.235549,0.967791,1704
25,881.516,0.258401,0.980178,1694
26,919.199,0.272131,0.987161,1690
27,956.882,0.2973,0.993994,1687
28,998.602,0.398582,0.810736,802
29,1033.59,0.322383,0.981332,1638
30,1072.62,0.341326,0.99516,1599
35,1297.38,0.494466,0.99145,1131
36,1337.75,0.562461,0.94434,1090
37,1379.47,0.588843,0.954406,942
38,1421.19,0.524022,0.981229,1034
39,1461.57,0.522013,0.989232,1062
40,1499.25,0.548151,0.976775,882
41,1543.66,0.596905,0.97868,894
42,1584.04,0.637878,0.983304,891
43,1625.76,0.643483,0.983614,838
44,1668.82,0.650719,0.991719,860
45,1710.54,0.713527,0.977148,749
46,1753.61,0.717487,0.961378,738
47,1796.68,0.762466,0.975713,716
48,1838.4,0.858162,0.978324,627
49,1882.81,0.855143,0.967813,628
50,1927.22,1.01631,0.999034,583
51,1971.63,0.994507,0.994722,592
59,2387.49,1.10252,0.987133,509
60,2434.6,1.05174,0.975106,478
61,2483.05,1.18238,0.991685,463
62,2531.5,1.16465,0.976643,464
63,2581.29,1.47601,0.995293,366
64,2631.09,1.35659,0.946529,357
65,2682.23,1.37222,0.968813,389
66,2732.03,1.35144,0.972259,390
71,2997.15,1.62363,0.87056,263
80,3045.6,0.89467,0.775626,929
81,3496.45,0.38003,0.646094,1230
89,4496.4,1.30321,0.803269,635
