partial,f,sigma,r2,fittedFrameCount
1,72.6746,0.217249,0.944957,1693
2,146.695,0.256608,0.819618,1691
3,219.37,0.175491,0.788914,1698
4,293.39,0.230407,0.961607,1689
5,366.064,0.193511,0.827251,1696
6,440.085,0.155647,0.679481,1692
7,514.105,0.195561,0.641189,1694
8,586.78,0.18821,0.878335,1695
9,660.8,0.198667,0.805305,1692
10,734.821,0.200386,0.790309,1694
11,808.841,0.164947,0.675426,1697
13,956.882,0.145437,0.655515,1690
14,1032.25,0.195569,0.655992,1693
15,1106.27,0.212705,0.813935,1694
16,1181.63,0.298386,0.855038,1353
17,1255.65,0.255862,0.861989,1558
19,1407.73,0.218978,0.743042,1686
35,2733.37,0.662145,0.889209,706
36,2815.47,0.577217,0.948856,894
37,2896.22,0.579089,0.931942,823
38,2978.31,0.598315,0.919075,812
43,3060.41,0.677236,0.943193,926
45,3313.42,1.23013,0.88825,762
48,3652.57,1.13002,0.801315,611
52,4002.48,1.8369,0.909427,571
53,5005.12,1.65146,0.859621,312
67,5209.69,1.70636,0.842299,618
69,6002.38,1.70128,0.707478,548
77,6108.7,0.860231,0.584211,816
