partial,f,sigma,r2,fittedFrameCount
1,82.0953,0.170046,0.871961,1698
2,164.191,0.201667,0.874114,1687
3,246.286,0.291404,0.909867,1690
4,329.727,0.220952,0.805551,1691
5,411.823,0.166004,0.761031,1696
6,493.918,0.254031,0.855061,1689
7,577.359,0.211456,0.879664,1682
8,659.454,0.213738,0.858125,1699
9,742.896,0.165269,0.692739,1696
10,824.991,0.146743,0.612514,1698
11,908.432,0.250685,0.872459,1388
13,1075.31,0.1499,0.636502,1693
14,1158.76,0.235978,0.870592,1677
15,1243.54,0.167909,0.722808,1689
16,1326.98,0.64364,0.879681,648
17,1411.77,0.193043,0.779801,1698
18,1496.56,0.186137,0.758046,1697
19,1581.34,0.222314,0.797801,1688
20,1668.82,0.537693,0.95888,877
27,2317.51,3.21585,0.922635,182
35,2627.05,0.450993,0.937721,955
36,2717.22,0.518027,0.908634,1043
37,3419.74,1.78022,0.932999,373
45,3929.81,1.31006,0.875106,445
51,4126.3,1.85005,0.854424,457
53,4562.35,2.43728,0.94017,458
57,4830.17,2.60249,0.928981,434
60,4935.14,2.14023,0.907875,518
61,5699.57,3.15764,0.903256,365
68,5909.52,0.885814,0.588968,821
