partial,f,sigma,r2,fittedFrameCount
2,87.4786,0.272113,0.890953,1698
3,130.545,0.215736,0.90797,1698
4,173.611,0.249235,0.907542,1697
5,218.024,0.200154,0.874648,1702
6,261.09,0.218741,0.778605,1698
7,305.502,0.196402,0.915727,1695
8,348.569,0.192273,0.896459,1698
9,392.981,0.205497,0.793186,1692
10,436.047,0.187661,0.658678,1700
11,480.46,0.210055,0.837806,1698
12,523.526,0.184409,0.753935,1697
13,567.938,0.196033,0.662088,1694
14,612.35,0.131751,0.614089,1698
15,656.763,0.150507,0.626613,1692
17,745.587,0.19224,0.731184,1691
18,789.999,0.175473,0.751531,1700
19,835.757,0.157366,0.729152,1699
20,880.17,0.219572,0.90531,1691
21,925.928,0.15159,0.648983,1694
22,971.686,0.180287,0.773435,1688
23,1018.79,0.400544,0.908992,941
24,1065.89,0.211765,0.831691,1688
25,1135.88,1.98587,0.977354,248
26,1180.29,1.3775,0.930874,348
27,1224.7,1.65428,0.939398,283
28,1257,1.11162,0.750908,243
29,1313.53,1.63788,0.933486,337
34,1580,0.435774,0.921106,1046
35,1628.45,0.447322,0.966303,1158
36,1678.24,0.454583,0.951317,1051
37,1726.69,0.54234,0.879364,862
38,1776.49,0.497301,0.908247,971
39,1826.28,0.484339,0.938989,983
40,1876.08,0.519195,0.944831,866
41,1927.22,0.576627,0.953969,874
42,1977.02,0.548587,0.89433,816
43,2030.85,0.568532,0.872547,698
49,2395.57,0.780864,0.91713,529
50,2448.06,0.786522,0.950418,679
51,2503.23,0.933332,0.950209,611
52,2558.41,1.02088,0.929202,537
53,2613.59,1.33427,0.959829,397
54,2668.77,0.940205,0.920765,510
60,3135.77,1.48094,0.975653,450
70,3614.89,1.59679,0.949235,418
78,4390.08,2.19601,0.960826,303
89,4966.09,3.65544,0.923496,298
