partial,f,sigma,r2,fittedFrameCount
1,196.49,0.255811,0.938361,1265
2,391.635,0.34298,0.824582,1264
3,588.126,0.218075,0.706188,1258
4,784.616,0.363589,0.860186,1259
5,982.452,0.296083,0.934093,1262
6,1180.29,0.243929,0.799577,1264
7,1378.12,0.226027,0.81942,1256
8,1577.31,0.279671,0.856951,1257
9,1777.84,0.377904,0.93339,1246
10,1979.71,0.329603,0.886077,1253
11,2184.27,0.288138,0.962779,1258
12,2388.84,0.489057,0.873391,1024
13,2594.75,0.41894,0.807696,724
14,2803.35,0.36575,0.779301,920
15,3011.96,0.366849,0.781661,1284
18,3224.6,0.44003,0.853283,1102
19,3873.28,0.613715,0.887125,739
22,4094,0.613679,0.864473,763
24,4317.41,0.734827,0.839588,600
25,5002.43,1.31547,0.946467,470
28,5473.47,1.48029,0.866048,345
30,6711.63,3.46701,0.775707,202
