partial,f,sigma,r2,fittedFrameCount
1,246.286,0.267348,0.774748,1258
2,493.918,0.329393,0.815577,1255
4,989.182,0.330426,0.843763,1248
5,1238.16,0.306823,0.875941,1137
6,1488.48,0.326043,0.899668,1218
7,1740.15,0.386828,0.791798,877
12,3028.11,0.64069,0.968685,1016
14,3294.58,0.604397,0.947008,963
15,3562.4,0.654046,0.931757,869
16,3832.91,0.874344,0.921643,684
17,4952.64,1.37128,0.931747,423
18,5243.33,1.62273,0.939871,364
23,5538.07,2.11543,0.891804,266
24,6447.85,3.04102,0.896077,196
27,7080.39,5.92882,0.830227,132
29,8757.28,4.76447,0.772079,207
