partial,f,sigma,count,meanR2,meanFittedFrameCount
1,110.358,0.323807,5,0.899672,1193.2
2,219.37,0.268591,2,0.795102,1200
4,440.085,0.211911,4,0.648213,1264.5
5,550.443,0.241679,5,0.78736,1269.6
6,660.8,0.167307,4,0.731294,1264.75
7,771.158,0.20696,5,0.700317,1269.2
8,881.516,0.215924,3,0.662676,1270.33
9,991.873,0.283663,5,0.85197,1267
10,1103.58,0.261301,5,0.776955,1264.2
11,1216.63,0.287287,5,0.804562,1259.2
12,1331.02,0.364001,4,0.857449,1116.5
20,2318.86,0.823271,1,0.905663,448
23,2702.42,0.702486,3,0.966151,749.333
24,2820.85,1.11392,1,0.951904,478
25,2943.32,1.03123,1,0.953327,501
26,2939.28,0.678636,4,0.911117,668.5
29,3131.74,0.876659,5,0.911641,731.2
30,3402.92,2.14956,4,0.869309,523.25
33,3545.58,1.09547,4,0.922414,602.5
34,4299.91,1.48642,4,0.8947,468.75
40,4429.11,1.50993,4,0.899995,430.75
41,4821.08,2.0737,4,0.891979,399
43,5499.04,2.33722,3,0.906666,316
48,5636.32,2.64278,3,0.927194,272
49,6348.93,3.35175,2,0.899848,248
53,7241.21,3.56951,2,0.855686,291
58,8507.63,4.4105,2,0.876576,153.5
65,9350.79,2.29548,1,0.668742,353
