partial,f,sigma,count,meanR2,meanFittedFrameCount
1,57.8705,0.245533,5,0.841247,1271.4
2,116.077,0.212507,4,0.745822,1272
3,174.957,0.269258,5,0.766103,1261.8
4,232.828,0.226874,5,0.904821,1269.8
5,290.698,0.217836,4,0.776889,1272.25
7,407.785,0.23844,5,0.865611,1269.4
8,465.656,0.154905,4,0.646455,1272
9,523.862,0.267509,4,0.788707,1271.75
10,582.742,0.142955,1,0.615304,1274
11,640.882,0.14905,5,0.627288,1273.8
12,699.829,0.202589,5,0.627111,1272.6
13,757.969,0.185507,5,0.697384,1273.4
14,816.916,0.211368,5,0.709895,1266.6
15,876.132,0.17899,2,0.687466,1271.5
16,935.349,0.244943,5,0.725521,1269.6
17,994.565,0.192296,5,0.722115,1270.2
18,1053.78,0.223999,5,0.710267,1267.4
19,1114.34,0.270549,5,0.83004,1267.6
20,1176.25,0.328492,3,0.902154,1257
26,1575.96,0.519816,2,0.908407,883.5
27,1635.18,0.426009,1,0.86824,1063
28,1693.05,0.499402,2,0.927327,881
29,1752.26,0.547365,1,0.956038,847
30,1837.05,0.356012,5,0.886821,1151.6
31,1898.96,0.398109,5,0.935975,1241
32,1961.2,0.396636,4,0.940205,1258.5
33,2022.78,0.410746,4,0.946815,1235.25
34,2084.68,0.435845,5,0.949992,1160.8
35,2149.28,0.420709,5,0.932219,1145
36,2225.32,0.563338,2,0.914728,795
37,2301.36,4.98963,2,0.987849,105
40,2523.42,0.591664,2,0.929406,857.5
41,2592.4,0.575577,4,0.951085,902.5
42,2658,0.547611,4,0.962422,963.75
43,2720.25,0.567023,4,0.964522,886.75
44,2788.55,0.5827,3,0.972716,983
47,2658,0.558748,1,0.926108,757
49,2719.91,0.549682,1,0.915606,683
50,3103.74,0.794342,5,0.945238,905.2
55,3118.28,0.674601,1,0.983353,1052
56,3832.91,1.42656,4,0.945649,580.25
65,3984.32,1.13465,4,0.904676,672.25
66,4018.63,0.953926,1,0.928353,655
68,4491.36,1.50696,4,0.936162,587
73,4600.93,1.50114,3,0.865743,550.333
75,5957.97,2.96881,3,0.941324,271
90,6900.72,4.19805,2,0.930169,208
