partial,f,sigma,count,meanR2,meanFittedFrameCount
1,61.908,0.260455,4,0.83612,1269
2,123.816,0.30357,5,0.943754,1267.4
3,184.378,0.275543,5,0.78715,1270.6
4,246.286,0.212499,5,0.677905,1272
5,308.194,0.213717,5,0.788308,1273
6,370.102,0.169082,3,0.730265,1272.67
8,493.918,0.146474,1,0.6008,1273
9,555.826,0.205669,5,0.760371,1267
10,617.734,0.23551,5,0.852461,1272.2
12,742.896,0.190661,5,0.71044,1268.4
13,804.803,0.240183,5,0.699467,1266
14,866.711,0.1831,5,0.724995,1273.8
15,929.965,0.196666,5,0.657074,1267.2
16,993.219,0.237936,5,0.789414,1270.2
17,1056.47,0.282418,5,0.867803,1270.6
18,1118.92,0.255684,5,0.824578,1268.6
19,1182.98,0.294035,5,0.840189,1268.8
20,1247.58,0.279091,5,0.755893,1217.4
21,1312.18,0.370832,5,0.9571,1234.6
22,1378.12,0.409762,1,0.942034,1257
27,1734.77,0.510478,2,0.967384,910.5
29,1859.93,0.692476,1,0.938462,759
34,2227.34,0.417288,4,0.943311,1189.5
35,2295.98,0.456795,5,0.968155,1218.2
36,2364.61,0.515589,3,0.961442,987.667
37,2433.59,0.550688,4,0.947378,917
38,2502.23,0.582856,4,0.966917,944.5
39,2572.32,0.55938,3,0.957661,942.333
41,2746.83,0.855673,1,0.970412,565
42,2811.43,0.828267,1,0.954395,565
45,2854.5,0.613116,5,0.961927,830.6
49,2924.48,0.71186,5,0.974084,694
50,2997.96,0.64504,5,0.95628,795.6
51,3068.15,0.810853,4,0.933807,870
52,3420.75,1.06589,4,0.917095,728.5
53,4225.89,1.24597,4,0.947009,512.5
61,5071.07,1.8245,1,0.972617,388
67,5070.17,1.80708,3,0.897656,413.333
77,5379.71,2.13145,3,0.884227,454
81,5473.92,2.2394,3,0.863876,462.333
82,5915.57,3.41772,2,0.915929,318
86,6490.24,3.45768,2,0.898138,213.5
92,7605.93,4.18737,2,0.915557,208.5
