partial,f,sigma,count,meanR2,meanFittedFrameCount
1,65.9454,0.249538,5,0.879157,1274
2,130.545,0.274562,5,0.891217,1269.4
3,196.49,0.208169,5,0.886744,1273.4
4,261.09,0.270278,3,0.819469,1272.33
5,327.036,0.188063,5,0.761875,1273.6
6,391.635,0.19882,5,0.798638,1274.6
7,457.581,0.215263,5,0.794823,1271.8
9,588.126,0.198565,3,0.739992,1271.33
11,720.016,0.277634,5,0.930977,1266.6
12,785.962,0.194725,5,0.723681,1273
13,851.907,0.161073,2,0.665405,1272.5
14,918.862,0.192609,4,0.706061,1268.25
15,985.144,0.208339,3,0.724432,1188
16,1051.09,0.304441,5,0.849792,1262.8
17,1118.38,0.241656,5,0.792296,1271.2
18,1184.33,0.246382,5,0.797804,1267
19,1252.96,0.299057,5,0.82446,1229.4
20,1321.6,0.310545,3,0.782345,1108
27,1837.05,0.601843,1,0.917708,784
33,2283.87,0.483674,4,0.917928,963
34,2356.54,0.521657,4,0.934029,949
35,2426.52,0.558451,4,0.954639,991.5
36,2499.2,0.596405,4,0.959341,934.25
37,2570.53,0.578849,4,0.923304,846
38,2645.89,0.615816,3,0.933963,850.333
41,2908.33,0.937054,1,0.978108,593
43,2643.2,0.584061,2,0.94129,842.5
44,2715.88,0.601097,5,0.945677,822
45,3085.44,0.776421,5,0.930401,960.6
50,3620.27,1.06492,4,0.923392,646
57,3700.35,0.872846,4,0.92999,716.5
58,4390.75,1.89099,4,0.886161,426
66,4762.88,1.48277,3,0.903296,438.333
68,5270.25,1.80462,2,0.867357,350.5
76,7026.55,2.37736,2,0.883108,238.5
93,7282.26,2.35123,2,0.708778,435
96,7906.72,3.13505,2,0.74312,389.5
