partial,f,sigma,count,meanR2,meanFittedFrameCount
1,348.569,0.397993,5,0.912558,752.2
3,1049.74,0.277942,5,0.687818,754.4
4,1402.35,0.590758,5,0.90626,745.8
5,1757.65,0.512746,5,0.849229,696.8
6,2115.64,0.584423,5,0.887227,725.4
7,2476.32,0.657013,5,0.925402,709.4
8,2842.38,0.926167,4,0.928132,541.5
9,2842.38,0.909164,1,0.859994,498
10,3779.08,1.53976,4,0.937272,445.75
11,3967.49,0.88404,1,0.574432,774
13,4355.09,2.22268,3,0.934262,300.667
14,4881.76,3.74599,3,0.939027,254.333
15,5974.12,4.00449,2,0.912362,157.5
16,5149.13,4.03256,1,0.933723,280
17,5974.12,6.59324,1,0.885251,160
19,7280.91,7.67607,1,0.929361,150
22,7733.11,6.41928,1,0.883771,165
