partial,f,sigma,count,meanR2,meanFittedFrameCount
1,184.378,0.32159,5,0.932312,1010.8
3,554.48,0.242507,5,0.704056,1013.4
4,740.204,0.301143,5,0.674082,998.6
5,925.928,0.314816,5,0.908316,1007.4
6,1113,0.277813,5,0.765874,1003.4
7,1300.07,0.384565,5,0.943081,995.2
8,1488.48,0.452284,5,0.901856,987.4
9,1677.97,0.475227,5,0.962078,983.2
10,1866.93,0.54845,5,0.958696,898.2
11,2057.77,0.645938,5,0.915975,766.2
12,2250.22,0.636276,5,0.959727,782.2
13,2444.02,0.720547,5,0.941709,726.6
14,2639.16,0.781117,4,0.932251,580
15,2838.35,0.913277,2,0.931192,579.5
16,2902.05,0.870789,3,0.957002,727
17,3033.49,1.06544,3,0.899701,620.333
19,3845.02,1.56105,5,0.882171,422.8
24,4263.57,1.76552,4,0.891873,391.75
26,4690.2,2.49774,3,0.875803,277
28,6038.27,3.50186,3,0.917781,225.333
34,6269.3,3.67155,3,0.907214,196.333
35,6509.08,4.02703,2,0.935225,226
36,8001.6,5.80319,2,0.868453,123.5
43,9619.96,5.22827,1,0.804033,196
