partial,f,sigma,r2,fittedFrameCount
1,61.908,0.313576,0.888559,1262
2,123.816,0.309187,0.976864,1262
3,184.378,0.311086,0.883579,1268
4,246.286,0.202791,0.691308,1272
5,308.194,0.198376,0.752059,1274
9,555.826,0.200882,0.686784,1272
10,617.734,0.216527,0.817324,1271
12,742.896,0.225727,0.797126,1263
13,804.803,0.21327,0.735841,1268
14,866.711,0.186778,0.772539,1274
15,929.965,0.230573,0.665383,1264
16,993.219,0.262066,0.790022,1267
17,1056.47,0.295877,0.843744,1270
18,1119.73,0.255954,0.801864,1266
19,1182.98,0.306842,0.882607,1269
20,1247.58,0.295641,0.81099,1259
21,1312.18,0.410775,0.965076,1199
22,1378.12,0.409762,0.942034,1257
27,1734.77,0.525202,0.971492,935
29,1859.93,0.692476,0.938462,759
34,2227.34,0.444488,0.948363,1132
35,2295.98,0.506497,0.967877,1082
36,2364.61,0.54904,0.962719,899
37,2434.6,0.593871,0.95493,874
38,2503.23,0.610525,0.94176,914
39,2573.22,0.586537,0.952979,898
41,2746.83,0.855673,0.970412,565
42,2811.43,0.828267,0.954395,565
45,2854.5,0.63116,0.958542,841
49,2924.48,0.709025,0.986796,740
50,2995.81,0.665975,0.980466,861
51,3068.48,0.747015,0.976589,943
52,3589.32,1.01252,0.973872,659
53,4225.89,1.25221,0.98819,583
61,5071.07,1.8245,0.972617,388
77,5379.26,2.20962,0.943408,292
81,5474.82,2.63886,0.921464,284
82,5916.25,3.89881,0.949365,266
86,6490.92,3.12296,0.937212,217
92,7606.6,3.4353,0.916587,181
