partial,f,sigma,r2,fittedFrameCount
1,72.6746,0.61281,0.934668,789
2,146.695,0.173442,0.653825,1270
3,219.37,0.215142,0.629133,1271
7,514.105,0.199893,0.668751,1270
9,660.8,0.184715,0.71364,1259
10,734.821,0.252702,0.688717,1264
12,882.861,0.23445,0.688011,1268
13,956.882,0.290639,0.87685,1268
14,1032.25,0.241706,0.742245,1271
15,1106.27,0.245769,0.773653,1265
16,1181.63,0.468212,0.903139,1093
17,1257,0.320059,0.940616,1237
18,1331.02,0.475405,0.946021,989
19,1407.73,0.410372,0.969643,1260
20,1485.79,0.338871,0.921708,1263
21,1563.85,0.247797,0.937622,1274
27,2064.5,0.771325,0.886929,595
28,2138.52,0.731494,0.909442,617
34,2649.93,0.612718,0.892588,825
35,2733.37,0.578831,0.975501,930
36,2815.47,0.640719,0.971507,875
37,2897.56,0.586675,0.973802,926
38,2978.31,0.643436,0.966128,818
45,4002.48,1.04021,0.975933,654
46,4181.48,1.02069,0.982949,671
58,4274.34,1.0409,0.969569,650
60,4916.3,1.56038,0.962499,415
66,5106.06,2.3711,0.935498,415
68,6111.39,3.37878,0.908771,279
78,8006.31,3.55166,0.829449,204
94,8574.25,1.47161,0.564465,456
