partial,f,sigma,r2,fittedFrameCount
1,39.0289,0.207738,0.89899,1276
2,78.0579,0.175007,0.843622,1274
3,115.741,0.162381,0.838103,1275
4,154.77,0.121741,0.678607,1276
5,193.799,0.161596,0.822663,1275
6,232.828,0.168728,0.824017,1209
7,271.857,0.175206,0.84763,1256
8,310.886,0.116898,0.640884,1277
9,349.915,0.152045,0.755652,1276
10,388.943,0.185319,0.848724,1275
11,427.972,0.159959,0.803332,1276
12,467.001,0.230412,0.924598,1272
13,506.03,0.192492,0.883336,1273
14,546.405,0.209269,0.91516,1275
15,585.434,0.250476,0.954736,1269
16,624.463,0.195797,0.837482,1276
17,664.838,0.207104,0.848831,1273
18,705.212,0.20848,0.925786,1277
19,745.587,0.226356,0.942095,1270
20,784.616,0.245322,0.950076,1276
21,824.991,0.240742,0.881698,1269
22,866.711,0.260552,0.932725,1267
23,907.086,0.330062,0.987065,1269
24,947.461,0.29806,0.942509,1274
25,990.527,0.337542,0.961328,1268
26,1032.25,0.377069,0.962045,1255
27,1099.54,2.94505,0.964568,193
28,1130.49,1.02495,0.997919,537
29,1170.87,0.881727,0.978954,670
35,1454.84,0.575328,0.979209,968
36,1500.6,0.576132,0.96866,952
37,1545.01,0.64258,0.971643,865
38,1589.42,0.612931,0.983749,872
39,1633.83,0.752893,0.978574,767
40,1679.59,0.698379,0.989404,783
41,1724,0.755106,0.999518,777
42,1771.11,0.821485,0.990736,682
43,1816.86,0.893764,0.993421,641
44,1862.62,0.90596,0.985278,611
45,1909.73,0.941269,0.944383,555
46,1958.18,0.961258,0.971963,558
50,2185.62,1.32768,0.999494,414
51,2227.34,1.32115,0.999819,437
52,2269.06,1.27446,0.999976,460
53,2345.77,1.13028,0.98454,502
54,2396.91,1.3051,0.999106,437
55,2438.64,1.2463,0.99984,459
56,2500.54,1.3399,0.990494,398
57,2550.34,1.24449,0.980291,446
58,2604.17,1.34484,0.971011,392
59,2655.31,1.2882,0.967128,394
60,2707.8,1.4284,0.970383,385
64,2956.78,1.2903,0.998966,420
65,3034.84,1.78411,0.995304,461
74,3306.69,2.05915,0.996814,399
79,3614.89,2.46586,0.9728,292
84,4644.44,4.29923,0.965062,175
