partial,f,sigma,r2,fittedFrameCount
1,92.8619,0.33506,0.858675,1263
2,184.378,0.215167,0.634861,1263
3,277.24,0.177987,0.634787,1270
4,370.102,0.242345,0.758781,1230
6,554.48,0.206027,0.685645,1273
9,834.412,0.240093,0.751766,1261
10,927.274,0.240778,0.800652,1266
11,1021.48,0.265913,0.810683,1271
12,1114.34,0.31411,0.883566,1258
13,1208.55,0.249953,0.820049,1267
14,1302.76,0.293269,0.781392,1258
15,1396.97,0.420377,0.914903,952
16,1492.52,0.42396,0.873076,1168
17,1586.73,0.439804,0.859803,1104
18,1682.28,0.519493,0.927078,1060
19,1779.18,0.445378,0.901529,1081
20,1874.73,0.469784,0.916924,1064
21,1972.98,0.534669,0.858535,773
22,2071.23,0.587309,0.963958,934
23,2170.82,0.635394,0.874396,591
28,2699.73,0.84314,0.954063,548
29,2793.93,1.14976,0.853133,388
31,2760.29,0.731908,0.919446,736
34,2964.85,0.770002,0.900466,618
36,3065.79,0.754664,0.959404,895
37,3271.7,0.909584,0.955969,719
39,3908.28,1.2965,0.955573,535
40,4570.42,1.48425,0.973701,474
52,4682.13,1.54182,0.960797,444
53,5383.3,2.38744,0.929602,339
59,6616.08,2.99041,0.904607,214
70,7006.37,4.36437,0.882306,215
73,7278.22,5.00155,0.924719,214
75,7681.97,3.21487,0.840395,326
78,10197.3,6.33576,0.897701,180
